,id,dc.contributor.author[],dc.date.issued[],dc.description.provenance[en],dc.identifier.uri,dc.title[],dc.title[en_US],MyTitle
943,df80aeaa-feba-4cdc-a4d1-8ec511edacf7,IEEE Std C37.115  : 2003,2003.0,"Made available in DSpace on 2017-02-23T06:01:06Z (GMT). No. of bitstreams: 1
c37.115-2003.pdf: 7753610 bytes, checksum: 57acc51552c55f2bb5cc5433d3316da1 (MD5)
  Previous issue date: 2003||Made available in DSpace on 2021-05-05T08:42:25Z (GMT). No. of bitstreams: 1
c37.115-2003.pdf: 7753610 bytes, checksum: 57acc51552c55f2bb5cc5433d3316da1 (MD5)
  Previous issue date: 2003",http://localhost:8080/xmlui/handle/108/124515,"Standard test methods for use in the evaluation of message communications between intelligent electronic devices in an integrated substation protection, control and data acquisition system",,"Standard test methods for use in the evaluation of message communications between intelligent electronic devices in an integrated substation protection, control and data acquisition system"
944,dfcc57e2-c210-43df-91e3-80eed60b81fd,IEEE Std C37.09a  : 2005,2005.0,"Made available in DSpace on 2017-02-23T06:01:21Z (GMT). No. of bitstreams: 1
c37.09a-2005.pdf: 308436 bytes, checksum: 41bd4011c7ec09df20a0d1c0f84854b7 (MD5)
  Previous issue date: 2005||Made available in DSpace on 2021-05-05T08:44:37Z (GMT). No. of bitstreams: 1
c37.09a-2005.pdf: 308436 bytes, checksum: 41bd4011c7ec09df20a0d1c0f84854b7 (MD5)
  Previous issue date: 2005",http://localhost:8080/xmlui/handle/108/124663,Standard Test Procedure for AC High-Voltage Circuit Breakers Rated on a Symmetrical Current Basis - Amendment 1: Capacitance Current Switching,,Standard Test Procedure for AC High-Voltage Circuit Breakers Rated on a Symmetrical Current Basis - Amendment 1: Capacitance Current Switching
945,e002ab2f-0e0a-4024-ab76-ed60da97678d,IEEE Std 802.1Qay  : 2009,2009.0,"Made available in DSpace on 2017-02-23T06:07:08Z (GMT). No. of bitstreams: 1
802.1qay-2009.pdf: 1155777 bytes, checksum: dd0e19f87cc2594bd4ef7ddc866acda4 (MD5)
  Previous issue date: 2009||Made available in DSpace on 2021-05-05T08:52:37Z (GMT). No. of bitstreams: 1
802.1qay-2009.pdf: 1155777 bytes, checksum: dd0e19f87cc2594bd4ef7ddc866acda4 (MD5)
  Previous issue date: 2009",http://localhost:8080/xmlui/handle/108/125099,Standard for Local and metropolitan area networks- Virtual Bridged Local Area Networks Amendment 10: Provider Backbone Bridge Traffic Engineering,,Standard for Local and metropolitan area networks- Virtual Bridged Local Area Networks Amendment 10: Provider Backbone Bridge Traffic Engineering
946,e01c4501-5595-4d33-9e51-6d10baed1c51,IEEE Std 1394c  : 2006,2006.0,"Made available in DSpace on 2017-02-23T06:06:31Z (GMT). No. of bitstreams: 1
1394c-2006.pdf: 2055938 bytes, checksum: c08a2211456035c734848b5f17df5006 (MD5)
  Previous issue date: 2006||Made available in DSpace on 2021-05-05T08:46:42Z (GMT). No. of bitstreams: 1
1394c-2006.pdf: 2055938 bytes, checksum: c08a2211456035c734848b5f17df5006 (MD5)
  Previous issue date: 2006",http://localhost:8080/xmlui/handle/108/124772,Standard for a High-Performance Serial Bus - Amendment 3,,Standard for a High-Performance Serial Bus - Amendment 3
947,e0df0c41-87fe-479f-88d8-3708e375c1d9,IEEE Std 1500-2005,2005.0,"Made available in DSpace on 2017-02-23T06:06:29Z (GMT). No. of bitstreams: 1
6311551.pdf: 1194788 bytes, checksum: 2913d0405f07798aac93a386c114dca1 (MD5)
  Previous issue date: 2005||Made available in DSpace on 2021-05-05T08:46:18Z (GMT). No. of bitstreams: 1
6311551.pdf: 1194788 bytes, checksum: 2913d0405f07798aac93a386c114dca1 (MD5)
  Previous issue date: 2005",http://localhost:8080/xmlui/handle/108/124755,IEEE Standard Testability Method for Embedded Core-based Integrated Circuits,,IEEE Standard Testability Method for Embedded Core-based Integrated Circuits
948,e0ff412c-9ed2-43a4-aeb9-aa63df48afe6,ieee std 450  : 2002,2002.0,"Made available in DSpace on 2017-02-23T06:06:44Z (GMT). No. of bitstreams: 1
450-2002.pdf: 423078 bytes, checksum: b36ece7e5232054bb930fc73b7918930 (MD5)
  Previous issue date: 2002||Made available in DSpace on 2021-05-05T08:48:49Z (GMT). No. of bitstreams: 1
450-2002.pdf: 423078 bytes, checksum: b36ece7e5232054bb930fc73b7918930 (MD5)
  Previous issue date: 2002",http://localhost:8080/xmlui/handle/108/124879,"Recommended practice for maintenance, testing, and replacement of vented lead-acid batteries for stationary applications",,"Recommended practice for maintenance, testing, and replacement of vented lead-acid batteries for stationary applications"
949,e106b5d1-bccd-42bb-a285-1d471d77ec9a,IEEE Std C37.43  : 2008,2008.0,"Made available in DSpace on 2017-02-23T06:01:09Z (GMT). No. of bitstreams: 1
c37.43-2008.pdf: 393258 bytes, checksum: 616b1117304c90cf5f24bd9a458bfdea (MD5)
  Previous issue date: 2008||Made available in DSpace on 2021-05-05T08:42:48Z (GMT). No. of bitstreams: 1
c37.43-2008.pdf: 393258 bytes, checksum: 616b1117304c90cf5f24bd9a458bfdea (MD5)
  Previous issue date: 2008",http://localhost:8080/xmlui/handle/108/124546,"Standard Specifications for High-Voltage Expulsion, Current-Limiting, and Combination-Type Distribution and Power Class External Fuses, with Rated Voltages from 1 kV through 38 kV, Used for the Protection of Shunt Capacitors",,"Standard Specifications for High-Voltage Expulsion, Current-Limiting, and Combination-Type Distribution and Power Class External Fuses, with Rated Voltages from 1 kV through 38 kV, Used for the Protection of Shunt Capacitors"
950,e1263d89-59e1-4df2-936a-350a9ec9a5ab,ANSI C63.011  : 2000,2000.0,"Made available in DSpace on 2017-02-23T06:00:59Z (GMT). No. of bitstreams: 1
c63.011-2000.pdf: 995741 bytes, checksum: 2324697204ffd37831afda1b529706fd (MD5)
  Previous issue date: 2000||Made available in DSpace on 2021-05-05T08:41:40Z (GMT). No. of bitstreams: 1
c63.011-2000.pdf: 995741 bytes, checksum: 2324697204ffd37831afda1b529706fd (MD5)
  Previous issue date: 2000",http://localhost:8080/xmlui/handle/108/124455,"American national standard for limits and methods of measurement of radio disturbance characteristics of industrial, scientific, and medical (ISM) radio-frequency equipment",,"American national standard for limits and methods of measurement of radio disturbance characteristics of industrial, scientific, and medical (ISM) radio-frequency equipment"
951,e191546b-edb8-4d39-99f4-89dc1135c1e1,ANSI C95.4  : 2002,2002.0,"Made available in DSpace on 2017-02-23T06:00:58Z (GMT). No. of bitstreams: 1
c95.4-2002.pdf: 1019398 bytes, checksum: 41fa3aff38991002f0d3b280fb1998cb (MD5)
  Previous issue date: 2002||Made available in DSpace on 2021-05-05T08:41:37Z (GMT). No. of bitstreams: 1
c95.4-2002.pdf: 1019398 bytes, checksum: 41fa3aff38991002f0d3b280fb1998cb (MD5)
  Previous issue date: 2002",http://localhost:8080/xmlui/handle/108/124449,Recommended Practice for Determining Safe Distances from Radio Frequency Transmitting Antennas When Using Electric Blasting Caps During Explosive Operations,,Recommended Practice for Determining Safe Distances from Radio Frequency Transmitting Antennas When Using Electric Blasting Caps During Explosive Operations
952,e1c3a6d3-97f9-4dbd-86b5-873d7220b273,ANSI C63.7  : 2005,2005.0,"Made available in DSpace on 2017-02-23T06:00:59Z (GMT). No. of bitstreams: 1
c63.7-2005.pdf: 573109 bytes, checksum: 7fc3fb65fa35efd116e5f2fbbfe312fe (MD5)
  Previous issue date: 2005||Made available in DSpace on 2021-05-05T08:41:38Z (GMT). No. of bitstreams: 1
c63.7-2005.pdf: 573109 bytes, checksum: 7fc3fb65fa35efd116e5f2fbbfe312fe (MD5)
  Previous issue date: 2005",http://localhost:8080/xmlui/handle/108/124451,American National Standard Guide for Construction of Open-Area Test Sites for Performing Radiated Emission Measurements,,American National Standard Guide for Construction of Open-Area Test Sites for Performing Radiated Emission Measurements
