,id,dc.contributor.author[],dc.date.issued[],dc.description.provenance[en],dc.identifier.uri,dc.title[],dc.title[en_US],MyTitle
0,028c0066-fd20-4ddc-b8b1-676c74417dc6,ISO 263 : 1973,1973,"Made available in DSpace on 2016-12-02T07:37:06Z (GMT). No. of bitstreams: 1
263.pdf: 1083358 bytes, checksum: 7531bc4698f5450cac7db51d3e877f5f (MD5)
  Previous issue date: 1973||Made available in DSpace on 2021-04-09T07:19:20Z (GMT). No. of bitstreams: 1
263.pdf: 1083358 bytes, checksum: 7531bc4698f5450cac7db51d3e877f5f (MD5)
  Previous issue date: 1973",http://localhost:8080/xmlui/handle/108/19706,"ISO inch screw threads -- General plan and selection for screws, bolts and nuts -- Diameter range 0,06 to 6 in",,"ISO inch screw threads -- General plan and selection for screws, bolts and nuts -- Diameter range 0,06 to 6 in"
1,03990693-929e-4015-8dd6-fd511aab5214,DIN EN 10208-2 : 1996,1996,"Made available in DSpace on 2016-12-02T07:37:42Z (GMT). No. of bitstreams: 1
din-en-10208-2-1996.pdf: 4787605 bytes, checksum: 22073261f5b69ebb7dd732ecedead0e8 (MD5)
  Previous issue date: 1996||Made available in DSpace on 2021-04-09T07:22:48Z (GMT). No. of bitstreams: 1
din-en-10208-2-1996.pdf: 4787605 bytes, checksum: 22073261f5b69ebb7dd732ecedead0e8 (MD5)
  Previous issue date: 1996",http://localhost:8080/xmlui/handle/108/20066,Technical delivery conditions for steel pipes for use with combustible fluids - Pipes of requirement class B,,Technical delivery conditions for steel pipes for use with combustible fluids - Pipes of requirement class B
2,03cbfe52-8776-4758-a7c3-56bd8e51ff23,ISO/TR 8550-2 : 2007,2007,"Made available in DSpace on 2016-12-02T07:37:45Z (GMT). No. of bitstreams: 1
8550-2.pdf: 1814205 bytes, checksum: 0b204562ee5d170eca90173b89c20f26 (MD5)
  Previous issue date: 2007||Made available in DSpace on 2021-04-09T07:23:28Z (GMT). No. of bitstreams: 1
8550-2.pdf: 1814205 bytes, checksum: 0b204562ee5d170eca90173b89c20f26 (MD5)
  Previous issue date: 2007",http://localhost:8080/xmlui/handle/108/20091,Guidance on the selection and usage of acceptance sampling systems for inspection of discrete items in lots -- Part 2: Sampling by attributes,,Guidance on the selection and usage of acceptance sampling systems for inspection of discrete items in lots -- Part 2: Sampling by attributes
3,040de75b-9e55-4817-994a-bb69248d59ce,ISO/IEC 27033-5 : 2013,2013,"Made available in DSpace on 2016-12-02T07:37:08Z (GMT). No. of bitstreams: 2
license.txt: 1845 bytes, checksum: 0076c92d845d38e8df24c53b3fef90ff (MD5)
ISO_IEC_27033-5_2013(E)-Character_PDF_document.pdf: 598327 bytes, checksum: 84b2c123388539e175542708878c7bcc (MD5)
  Previous issue date: 2013||Made available in DSpace on 2021-04-09T07:19:23Z (GMT). No. of bitstreams: 2
ISO_IEC_27033-5_2013(E)-Character_PDF_document.pdf: 598327 bytes, checksum: 84b2c123388539e175542708878c7bcc (MD5)
license.txt: 1845 bytes, checksum: 0076c92d845d38e8df24c53b3fef90ff (MD5)
  Previous issue date: 2013",http://localhost:8080/xmlui/handle/108/19724,Information technology - Security techniques - Network security Part 5 : Securing communications across networks using Virtual Private Networks (VPNs),,Information technology - Security techniques - Network security Part 5 : Securing communications across networks using Virtual Private Networks (VPNs)
4,04c521aa-9341-45fb-a784-7ecd79a93461,ISO/TS 16949 : 2009,2009,"Made available in DSpace on 2016-12-02T07:37:23Z (GMT). No. of bitstreams: 1
16949.pdf: 435439 bytes, checksum: b7dc9ee695a04f0468bf08616b44db2d (MD5)
  Previous issue date: 2009||Made available in DSpace on 2021-04-09T07:20:47Z (GMT). No. of bitstreams: 1
16949.pdf: 435439 bytes, checksum: b7dc9ee695a04f0468bf08616b44db2d (MD5)
  Previous issue date: 2009",http://localhost:8080/xmlui/handle/108/19876,Quality management systems -- Particular requirements for the application of ISO 9001:2008 for automotive production and relevant service part organizations,,Quality management systems -- Particular requirements for the application of ISO 9001:2008 for automotive production and relevant service part organizations
5,04ff9a80-94f0-4420-af71-9052f98d378e,En 26||R A Mottram||J Woolman,1966,"Made available in DSpace on 2016-12-01T09:18:06Z (GMT). No. of bitstreams: 1
en_26.pdf: 3646438 bytes, checksum: 0d1c0148ef027161de696f28ab10ba2f (MD5)
  Previous issue date: 1966||Made available in DSpace on 2021-04-09T07:19:43Z (GMT). No. of bitstreams: 1
en_26.pdf: 3646438 bytes, checksum: 0d1c0148ef027161de696f28ab10ba2f (MD5)
  Previous issue date: 1966",http://localhost:8080/xmlui/handle/108/9605,2.5 PER CENT NICKEL-CHROMIUM-MOLYBDENUM STEEL (HIGH CARBON),,2.5 PER CENT NICKEL-CHROMIUM-MOLYBDENUM STEEL (HIGH CARBON)
6,05672efb-deca-42cd-8e85-86b3ca4bb47c,DIN 1615 : 1984,1984,"Made available in DSpace on 2016-12-02T07:37:43Z (GMT). No. of bitstreams: 1
din-1615-1984.pdf: 446585 bytes, checksum: 90a7572c671cd3aecb8a563245129798 (MD5)
  Previous issue date: 1984||Made available in DSpace on 2021-04-09T07:22:47Z (GMT). No. of bitstreams: 1
din-1615-1984.pdf: 446585 bytes, checksum: 90a7572c671cd3aecb8a563245129798 (MD5)
  Previous issue date: 1984",http://localhost:8080/xmlui/handle/108/20071,Welded circular unalloyed steel tubes not subject to special requirements - Technical delivery conditions,,Welded circular unalloyed steel tubes not subject to special requirements - Technical delivery conditions
7,05a1a800-c84a-4406-9258-971bb003460f,ISO 1501 : 2009,2009,"Made available in DSpace on 2016-12-02T07:37:12Z (GMT). No. of bitstreams: 1
1501.pdf: 411093 bytes, checksum: 49f513880f133099372bc3d3007fc6a4 (MD5)
  Previous issue date: 2009||Made available in DSpace on 2021-04-09T07:19:45Z (GMT). No. of bitstreams: 1
1501.pdf: 411093 bytes, checksum: 49f513880f133099372bc3d3007fc6a4 (MD5)
  Previous issue date: 2009",http://localhost:8080/xmlui/handle/108/19764,ISO miniature screw threads,,ISO miniature screw threads
8,05e42ef5-3f20-43a5-89c3-aafc2bcd98f3,ISO 8879 : 1986/Amd 1 : 1988,1986,"Made available in DSpace on 2016-12-02T07:37:16Z (GMT). No. of bitstreams: 1
8879_amd_1.pdf: 2863658 bytes, checksum: 0dd62eae40903b98f3aafb04000da931 (MD5)
  Previous issue date: 1986||Made available in DSpace on 2021-04-09T07:20:00Z (GMT). No. of bitstreams: 1
8879_amd_1.pdf: 2863658 bytes, checksum: 0dd62eae40903b98f3aafb04000da931 (MD5)
  Previous issue date: 1986",http://localhost:8080/xmlui/handle/108/19795,Information processing -- Text and office systems -- Standard Generalized Markup Language (SGML) -- Amendment 1,,Information processing -- Text and office systems -- Standard Generalized Markup Language (SGML) -- Amendment 1
9,066a5411-b17b-4302-8be3-6074b1e0096a,DIN EN 10083-3 : 2007,2007,"Made available in DSpace on 2016-12-02T07:37:40Z (GMT). No. of bitstreams: 1
din-en-10083-3-2006.pdf: 1064179 bytes, checksum: 9c3bfd21eb9d2e0710d33fcc3f4a90b6 (MD5)
  Previous issue date: 2007||Made available in DSpace on 2021-04-09T07:22:32Z (GMT). No. of bitstreams: 1
din-en-10083-3-2006.pdf: 1064179 bytes, checksum: 9c3bfd21eb9d2e0710d33fcc3f4a90b6 (MD5)
  Previous issue date: 2007",http://localhost:8080/xmlui/handle/108/20040,Steels for quenching and tempering - Part 3: Technical delivery conditions for alloy steels,,Steels for quenching and tempering - Part 3: Technical delivery conditions for alloy steels
10,0727d2b9-a926-403d-b39a-ebd9fe88f5da,ISO 9897 : 1997/Cor 1 : 2001,1997,"Made available in DSpace on 2016-12-02T07:37:46Z (GMT). No. of bitstreams: 1
9897cor1.pdf: 11927 bytes, checksum: 1d668de3d5a136968872dc799d35055b (MD5)
  Previous issue date: 1997||Made available in DSpace on 2021-04-09T07:23:29Z (GMT). No. of bitstreams: 1
9897cor1.pdf: 11927 bytes, checksum: 1d668de3d5a136968872dc799d35055b (MD5)
  Previous issue date: 1997",http://localhost:8080/xmlui/handle/108/20105,Freight containers -- Container equipment data exchange (CEDEX) -- General communication codes -- Technical Corrigendum 1,,Freight containers -- Container equipment data exchange (CEDEX) -- General communication codes -- Technical Corrigendum 1
11,089028ee-5631-4c34-9bb4-6f44c2d9a2b5,BS EN 10149-Pt.1 : 2013,2013,"Made available in DSpace on 2016-12-02T07:37:28Z (GMT). No. of bitstreams: 1
bs en 10149-1.pdf: 1049774 bytes, checksum: 9f266323f2d90ec5148dda21fa49bb33 (MD5)
  Previous issue date: 2013||Made available in DSpace on 2021-04-09T07:21:24Z (GMT). No. of bitstreams: 1
bs en 10149-1.pdf: 1049774 bytes, checksum: 9f266323f2d90ec5148dda21fa49bb33 (MD5)
  Previous issue date: 2013",http://localhost:8080/xmlui/handle/108/19940,Hot rolled flat products made of high yield strength steels for cold forming. General technical delivery conditions,,Hot rolled flat products made of high yield strength steels for cold forming. General technical delivery conditions
12,092a155a-cba4-4647-932f-8789e0bcde65,En 3||R A Mottram||J Woolman,1964,"Made available in DSpace on 2016-12-01T09:18:07Z (GMT). No. of bitstreams: 1
en_3.pdf: 2948718 bytes, checksum: f5e6ad469b11b70f1b0c08965a28d5c3 (MD5)
  Previous issue date: 1964||Made available in DSpace on 2021-04-09T07:22:28Z (GMT). No. of bitstreams: 1
en_3.pdf: 2948718 bytes, checksum: f5e6ad469b11b70f1b0c08965a28d5c3 (MD5)
  Previous issue date: 1964",http://localhost:8080/xmlui/handle/108/9610,"""20"" CARBON STEEL",,"""20"" CARBON STEEL"
13,092d6812-e6d8-48f4-b314-dbe05689e44b,DIN EN 10217-1 : 2005,2005,"Made available in DSpace on 2016-12-02T07:37:31Z (GMT). No. of bitstreams: 1
din-en-10217-1-2005.pdf: 4964671 bytes, checksum: 711dfc061212578623bc02940ad30b2b (MD5)
  Previous issue date: 2005||Made available in DSpace on 2021-04-09T07:21:18Z (GMT). No. of bitstreams: 1
din-en-10217-1-2005.pdf: 4964671 bytes, checksum: 711dfc061212578623bc02940ad30b2b (MD5)
  Previous issue date: 2005",http://localhost:8080/xmlui/handle/108/19977,Welded steel tubes for pressure purposes - Technical delivery conditions - Part 1: Non-alloy steel tubes with specified room temperature properties (includes Amendment A1:2005),,Welded steel tubes for pressure purposes - Technical delivery conditions - Part 1: Non-alloy steel tubes with specified room temperature properties (includes Amendment A1:2005)
14,095a915c-38e7-4931-ae43-6060488dcf03,ISO 7500-1 : 2004/Cor 1 : 2008,2004,"Made available in DSpace on 2016-12-02T07:37:47Z (GMT). No. of bitstreams: 1
iso_7500-1_cor_1.pdf: 127820 bytes, checksum: cc9c9f1b207ea47b344e949f8cc7fa03 (MD5)
  Previous issue date: 2004||Made available in DSpace on 2021-04-09T07:23:47Z (GMT). No. of bitstreams: 1
iso_7500-1_cor_1.pdf: 127820 bytes, checksum: cc9c9f1b207ea47b344e949f8cc7fa03 (MD5)
  Previous issue date: 2004",http://localhost:8080/xmlui/handle/108/20117,Metallic materials -- Verification of static uniaxial testing machines -- Part 1: Tension/compression testing machines -- Verification and calibration of the force-measuring system -- Technical Corrigendum 1,,Metallic materials -- Verification of static uniaxial testing machines -- Part 1: Tension/compression testing machines -- Verification and calibration of the force-measuring system -- Technical Corrigendum 1
15,09f869de-8ab9-4696-afde-d6294ed75100,ISO 9897 : 1997,1997,"Made available in DSpace on 2016-12-02T07:37:21Z (GMT). No. of bitstreams: 1
9897.pdf: 1291599 bytes, checksum: f11c43bbd08965e43b0b1ef5c2f10a55 (MD5)
  Previous issue date: 1997||Made available in DSpace on 2021-04-09T07:20:19Z (GMT). No. of bitstreams: 1
9897.pdf: 1291599 bytes, checksum: f11c43bbd08965e43b0b1ef5c2f10a55 (MD5)
  Previous issue date: 1997",http://localhost:8080/xmlui/handle/108/19853,Freight containers -- Container equipment data exchange (CEDEX) -- General communication codes,,Freight containers -- Container equipment data exchange (CEDEX) -- General communication codes
16,0a1ec4c4-0c6f-4b87-b211-21591723bc0c,BS EN I SO 6506-3 : 1999,1999,"Made available in DSpace on 2016-12-02T07:37:36Z (GMT). No. of bitstreams: 1
sp6616.pdf: 3476028 bytes, checksum: d30a0ae17e29235516df3449b5991769 (MD5)
  Previous issue date: 1999||Made available in DSpace on 2021-04-09T07:22:10Z (GMT). No. of bitstreams: 1
sp6616.pdf: 3476028 bytes, checksum: d30a0ae17e29235516df3449b5991769 (MD5)
  Previous issue date: 1999",http://localhost:8080/xmlui/handle/108/20003,Metallic materials-Brinell hardness test : Pt.3 : Calibration of reference blocks,,Metallic materials-Brinell hardness test : Pt.3 : Calibration of reference blocks
17,0a2374d1-a1ea-4db0-9059-efe7478ed7a6,ISO 10583 : 1993,1993,"Made available in DSpace on 2016-12-02T07:37:48Z (GMT). No. of bitstreams: 1
10583.pdf: 1329499 bytes, checksum: 908dac0669cc05f1de99aabe8049ae3d (MD5)
  Previous issue date: 1993||Made available in DSpace on 2021-04-09T07:24:01Z (GMT). No. of bitstreams: 1
10583.pdf: 1329499 bytes, checksum: 908dac0669cc05f1de99aabe8049ae3d (MD5)
  Previous issue date: 1993",http://localhost:8080/xmlui/handle/108/20130,Aerospace fluid systems -- Test methods for tube/fitting assemblies,,Aerospace fluid systems -- Test methods for tube/fitting assemblies
18,0a7a9edc-c2de-4daf-8f68-961cd8d7a6fc,EN 41||R A Mottram||J Woolman,1968,"Made available in DSpace on 2016-12-01T09:18:10Z (GMT). No. of bitstreams: 1
en41.pdf: 1890400 bytes, checksum: 98997fed96b1bf444c0ae15ef6868b8a (MD5)
  Previous issue date: 1968||Made available in DSpace on 2021-04-09T07:24:21Z (GMT). No. of bitstreams: 1
en41.pdf: 1890400 bytes, checksum: 98997fed96b1bf444c0ae15ef6868b8a (MD5)
  Previous issue date: 1968",http://localhost:8080/xmlui/handle/108/9630,1.5 PER CENT CHROMIUM-ALUMINIUM-MOLYBDENUM NITRIDING STEEL,,1.5 PER CENT CHROMIUM-ALUMINIUM-MOLYBDENUM NITRIDING STEEL
19,0a93d000-9de9-4d98-a233-eb80c22a3d37,DIN EN 10224 : 2005,2005,"Made available in DSpace on 2016-12-02T07:37:41Z (GMT). No. of bitstreams: 1
din-en-10224-2005.pdf: 6360786 bytes, checksum: 49f8c1cf226d62baa570967802a8e863 (MD5)
  Previous issue date: 2005||Made available in DSpace on 2021-04-09T07:22:56Z (GMT). No. of bitstreams: 1
din-en-10224-2005.pdf: 6360786 bytes, checksum: 49f8c1cf226d62baa570967802a8e863 (MD5)
  Previous issue date: 2005",http://localhost:8080/xmlui/handle/108/20050,Non-alloy steel tubes and fittings for the conveyance of water and other aqueous liquids - Technical delivery conditions (includes Amendment A1:2005),,Non-alloy steel tubes and fittings for the conveyance of water and other aqueous liquids - Technical delivery conditions (includes Amendment A1:2005)
20,0b354513-cdcf-4380-a38f-45f8dd4cb2ef,DIN 2460 : 2006,2006,"Made available in DSpace on 2016-12-02T07:37:43Z (GMT). No. of bitstreams: 1
din-2460-2006.pdf: 501655 bytes, checksum: 65672996f37bb15f1b5ac856bc71a60f (MD5)
  Previous issue date: 2006||Made available in DSpace on 2021-04-09T07:23:06Z (GMT). No. of bitstreams: 1
din-2460-2006.pdf: 501655 bytes, checksum: 65672996f37bb15f1b5ac856bc71a60f (MD5)
  Previous issue date: 2006",http://localhost:8080/xmlui/handle/108/20072,Steel water pipes and fittings,,Steel water pipes and fittings
