id,collection,dc.contributor.author[],dc.date.accessioned,dc.date.accessioned[],dc.date.available,dc.date.available[],dc.date.issued[],dc.description.provenance[en],dc.description.sponsorship[],dc.description[],dc.identifier.uri,dc.publisher[],dc.publisher[en_US],dc.source[],dc.subject[],dc.subject[en_US],dc.title.alternative[],dc.title[],dc.title[en_US],dc.type[]
"729e1e7a-ed9f-4a2f-bf7e-56d61afb7dbf","108/27415","F Herrier","2021-06-18T06:47:50Z","2016-12-08T10:35:02Z","2021-06-18T06:47:50Z","2016-12-08T10:35:02Z","2003","Made available in DSpace on 2016-12-08T10:35:02Z (GMT). No. of bitstreams: 2
license.txt: 1840 bytes, checksum: 8945ed37358aff6a3ca2f78e495fef9b (MD5)
99_0692_00000122.AVI: 35463680 bytes, checksum: 0bbbddd9eb136f965a999d6e19ef3164 (MD5)
  Previous issue date: 2003||Made available in DSpace on 2021-06-18T06:47:50Z (GMT). No. of bitstreams: 2
99_0692_00000122.AVI: 35463680 bytes, checksum: 0bbbddd9eb136f965a999d6e19ef3164 (MD5)
license.txt: 1840 bytes, checksum: 8945ed37358aff6a3ca2f78e495fef9b (MD5)
  Previous issue date: 2003","HAMMELBURG","10th European Indirect Fire Symposium, Defence Acedemy Of The United Kingdom, Shrivenham, 1-3 July 2003","http://localhost:8080/xmlui/handle/108/83962",,,,,,,"Future Mortar System",,"Video"
"16e8adca-c6a9-4c9f-a355-ad651decaa2a","108/27415","Gerald Lefebvre","2021-06-18T06:47:48Z","2016-12-08T10:35:02Z","2021-06-18T06:47:48Z","2016-12-08T10:35:02Z","2003","Made available in DSpace on 2016-12-08T10:35:02Z (GMT). No. of bitstreams: 6
license.txt: 1840 bytes, checksum: 9a73d71e640083a9b7797e6b0e95f8c7 (MD5)
CAESAR.mpg: 29557894 bytes, checksum: 1ed21750e8fc89d73e6b89ea40c863e8 (MD5)
Armeo_4.mpg: 3524793 bytes, checksum: 172bac7d63451d79a3d0f56d6e295a86 (MD5)
Armeo_3.mpg: 3386831 bytes, checksum: 705a29370bfe681a6a4d6447b65c878d (MD5)
Armeo_2.mpg: 5343012 bytes, checksum: e4d32301ab9dd8f837755b99b52144db (MD5)
Armeo_1.mpg: 13073465 bytes, checksum: 14d721b137095ed86bfc2333a449b0ff (MD5)
  Previous issue date: 2003||Made available in DSpace on 2021-06-18T06:47:48Z (GMT). No. of bitstreams: 6
CAESAR.mpg: 29557894 bytes, checksum: 1ed21750e8fc89d73e6b89ea40c863e8 (MD5)
Armeo_4.mpg: 3524793 bytes, checksum: 172bac7d63451d79a3d0f56d6e295a86 (MD5)
Armeo_3.mpg: 3386831 bytes, checksum: 705a29370bfe681a6a4d6447b65c878d (MD5)
Armeo_2.mpg: 5343012 bytes, checksum: e4d32301ab9dd8f837755b99b52144db (MD5)
Armeo_1.mpg: 13073465 bytes, checksum: 14d721b137095ed86bfc2333a449b0ff (MD5)
license.txt: 1840 bytes, checksum: 9a73d71e640083a9b7797e6b0e95f8c7 (MD5)
  Previous issue date: 2003","GIAT Industries","10th European Indirect Fire Symposium, Defence Acedemy Of The United Kingdom, Shrivenham, 1-3 July 2003","http://localhost:8080/xmlui/handle/108/83963",,,,,,,"CAESAR Truck Mounted Artillery System Programme Overview",,"Video"
"59d53f38-d10e-43d5-9358-4c9a6c58e8aa","108/27415","Baldry, Alan","2021-06-18T06:47:46Z","2016-12-08T10:35:02Z","2021-06-18T06:47:46Z","2016-12-08T10:35:02Z",,"Made available in DSpace on 2016-12-08T10:35:02Z (GMT). No. of bitstreams: 5
license.txt: 1840 bytes, checksum: 00fb283015fc10d131d83910896e01a4 (MD5)
Slap 15 sec.mpg: 2471148 bytes, checksum: 9bc7d843b69e2cb3a436100a45bacceb (MD5)
Enforcer with minibush Moving.MPG: 5914112 bytes, checksum: 8a2bbe89ecbd88894a3260d4258941b1 (MD5)
BM Impact 10 sec.mpg: 1745558 bytes, checksum: 6c761b49dfe23c74c31bdbcebf714e97 (MD5)
BM Firing 10 sec.mpg: 1757654 bytes, checksum: 95426bab45c93480297d4489d43f4b6b (MD5)||Made available in DSpace on 2021-06-18T06:47:46Z (GMT). No. of bitstreams: 5
Slap 15 sec.mpg: 2471148 bytes, checksum: 9bc7d843b69e2cb3a436100a45bacceb (MD5)
Enforcer with minibush Moving.MPG: 5914112 bytes, checksum: 8a2bbe89ecbd88894a3260d4258941b1 (MD5)
BM Impact 10 sec.mpg: 1745558 bytes, checksum: 6c761b49dfe23c74c31bdbcebf714e97 (MD5)
BM Firing 10 sec.mpg: 1757654 bytes, checksum: 95426bab45c93480297d4489d43f4b6b (MD5)
license.txt: 1840 bytes, checksum: 00fb283015fc10d131d83910896e01a4 (MD5)",,,"http://localhost:8080/xmlui/handle/108/83964",,,,"12.7mm guns",,,"12.7mm (.50Cal) Bushmaster Automatic Weapon",,"Video"
"503b6a6d-8ae4-4172-8214-6f699260884f","108/27415","ARDE","2021-06-18T06:47:45Z","2016-12-08T10:35:20Z","2021-06-18T06:47:45Z","2016-12-08T10:35:20Z",,"Made available in DSpace on 2016-12-08T10:35:20Z (GMT). No. of bitstreams: 1
minelet.avi: 63638900 bytes, checksum: e237bce52e232bb34c6009796a162710 (MD5)||Made available in DSpace on 2021-06-18T06:47:45Z (GMT). No. of bitstreams: 1
minelet.avi: 63638900 bytes, checksum: e237bce52e232bb34c6009796a162710 (MD5)",,,"http://localhost:8080/xmlui/handle/108/84018",,,,"Minelet||Pinaka Rocket||Submunition Warhead",,,"Influence Mine",,
"45e06d7a-2349-434f-84a9-8ab42a1dd338","108/27415","Gramse, Jeffrey","2021-06-18T06:47:44Z","2016-12-08T10:35:03Z","2021-06-18T06:47:44Z","2016-12-08T10:35:03Z",,"Made available in DSpace on 2016-12-08T10:35:03Z (GMT). No. of bitstreams: 2
license.txt: 1840 bytes, checksum: 171002e7a84bbee8bbc12c36c4cef003 (MD5)
MK47 Presentation Draft IV.mpg: 49876908 bytes, checksum: 9a6fcee819eece85d20d7b57c75a009d (MD5)||Made available in DSpace on 2021-06-18T06:47:44Z (GMT). No. of bitstreams: 2
MK47 Presentation Draft IV.mpg: 49876908 bytes, checksum: 9a6fcee819eece85d20d7b57c75a009d (MD5)
license.txt: 1840 bytes, checksum: 171002e7a84bbee8bbc12c36c4cef003 (MD5)",,,"http://localhost:8080/xmlui/handle/108/83965",,,,"40mm Machine Guns",,,"MK47 MOD 0 Weapon System",,"Video"
"38534fe9-9ac3-443b-8588-f4fbb22b2916","108/27415",,"2021-06-18T06:47:43Z","2016-12-08T10:35:03Z","2021-06-18T06:47:43Z","2016-12-08T10:35:03Z",,"Made available in DSpace on 2016-12-08T10:35:03Z (GMT). No. of bitstreams: 1
122mm err.mpg: 4155452 bytes, checksum: 0e5af5dbbb0f888e3f697269c85322bf (MD5)||Made available in DSpace on 2021-06-18T06:47:43Z (GMT). No. of bitstreams: 1
122mm err.mpg: 4155452 bytes, checksum: 0e5af5dbbb0f888e3f697269c85322bf (MD5)",,,"http://localhost:8080/xmlui/handle/108/83966",,,,,,,"122mm ERR",,
"bef36001-4e8a-4d0e-a70e-1c20ab61df1f","108/27415","H Johner","2021-06-18T06:47:42Z","2016-12-08T10:35:03Z","2021-06-18T06:47:42Z","2016-12-08T10:35:03Z","2003","Made available in DSpace on 2016-12-08T10:35:03Z (GMT). No. of bitstreams: 2
license.txt: 1840 bytes, checksum: 5466eea0492c3ca04c87632bbb9631c0 (MD5)
Moerser.mpg: 32070596 bytes, checksum: 8b63dd3fb0dcd361a73358e84bf8fd03 (MD5)
  Previous issue date: 2003||Made available in DSpace on 2021-06-18T06:47:42Z (GMT). No. of bitstreams: 2
Moerser.mpg: 32070596 bytes, checksum: 8b63dd3fb0dcd361a73358e84bf8fd03 (MD5)
license.txt: 1840 bytes, checksum: 5466eea0492c3ca04c87632bbb9631c0 (MD5)
  Previous issue date: 2003","Nitrochemie","10th European Indirect Fire Symposium, Defence Acedemy Of The United Kingdom, Shrivenham, 1-3 July 2003","http://localhost:8080/xmlui/handle/108/83967",,,,,,,"Advanced Propulsion Technology For Modern Mortar Charge Design",,"Video"
"f298b205-21a8-466a-afa3-48df941576ac","108/27415","Straume, Jarl Eirik","2021-06-18T06:47:41Z","2016-12-08T10:35:03Z","2021-06-18T06:47:41Z","2016-12-08T10:35:03Z",,"Made available in DSpace on 2016-12-08T10:35:03Z (GMT). No. of bitstreams: 2
license.txt: 1840 bytes, checksum: d32411777b03c2adbd00c2422cc78448 (MD5)
Striker40 Integration May 03.mpg: 13955326 bytes, checksum: 59dd4944be6faba91623cf92166164c2 (MD5)||Made available in DSpace on 2021-06-18T06:47:41Z (GMT). No. of bitstreams: 2
Striker40 Integration May 03.mpg: 13955326 bytes, checksum: 59dd4944be6faba91623cf92166164c2 (MD5)
license.txt: 1840 bytes, checksum: d32411777b03c2adbd00c2422cc78448 (MD5)",,,"http://localhost:8080/xmlui/handle/108/83968",,,,"40mm Machine Guns",,,"MK47 Mod0 STRIKER40, MK285 Mod0 PPHE/SD(Programmable Prefragmented High Explosive Ammunition)",,"Video"
"686745b9-3fb7-41a1-ab8c-04fedcb64b1f","108/27415","Peter Tomlinson","2021-06-18T06:47:40Z","2016-12-08T10:35:04Z","2021-06-18T06:47:40Z","2016-12-08T10:35:04Z","2005","Made available in DSpace on 2016-12-08T10:35:04Z (GMT). No. of bitstreams: 3
license.txt: 1840 bytes, checksum: 95b5802a36e152d1b38c6575f834ba0c (MD5)
UEDT-4A.mpg: 35194656 bytes, checksum: b253f6a6e1b789a8c6dc5d47005d330c (MD5)
LIMAWS Hebrides_3rd_Firing.wmv: 538900 bytes, checksum: aad78ca9b78bd76dbbb1c4f71b0f430c (MD5)
  Previous issue date: 2005||Made available in DSpace on 2021-06-18T06:47:40Z (GMT). No. of bitstreams: 3
UEDT-4A.mpg: 35194656 bytes, checksum: b253f6a6e1b789a8c6dc5d47005d330c (MD5)
LIMAWS Hebrides_3rd_Firing.wmv: 538900 bytes, checksum: aad78ca9b78bd76dbbb1c4f71b0f430c (MD5)
license.txt: 1840 bytes, checksum: 95b5802a36e152d1b38c6575f834ba0c (MD5)
  Previous issue date: 2005",,"12th European Indirect Fire Symposium 6-8 July 2005, Defence Academy, Shrivenham","http://localhost:8080/xmlui/handle/108/83969",,,,"12th European Indirect Fire Symposium",,,"Future Artillery Requirements",,"Video"
"6df512f8-e18f-4d8e-b6a0-a84eb03ac9a0","108/27415","Borje Nyquist","2021-06-18T06:47:38Z","2016-12-08T10:35:04Z","2021-06-18T06:47:38Z","2016-12-08T10:35:04Z","2003","Made available in DSpace on 2016-12-08T10:35:04Z (GMT). No. of bitstreams: 4
license.txt: 1840 bytes, checksum: 771f3f126d558b39a2898734404a568f (MD5)
traff.mpg: 2331168 bytes, checksum: 2f68497acbe3b987bc082a02affbed11 (MD5)
Sub.mpg: 704686 bytes, checksum: 1399bfc15f93370283b5c239218d4bad (MD5)
Detonation2.mpg: 1071363 bytes, checksum: ed76a1f79aed10fa61c44900327dc3ee (MD5)
  Previous issue date: 2003||Made available in DSpace on 2021-06-18T06:47:38Z (GMT). No. of bitstreams: 4
traff.mpg: 2331168 bytes, checksum: 2f68497acbe3b987bc082a02affbed11 (MD5)
Sub.mpg: 704686 bytes, checksum: 1399bfc15f93370283b5c239218d4bad (MD5)
Detonation2.mpg: 1071363 bytes, checksum: ed76a1f79aed10fa61c44900327dc3ee (MD5)
license.txt: 1840 bytes, checksum: 771f3f126d558b39a2898734404a568f (MD5)
  Previous issue date: 2003","Bofors Defence","10th European Indirect Fire Symposium, Defence Acedemy Of The United Kingdom, Shrivenham, 1-3 July 2003","http://localhost:8080/xmlui/handle/108/83970",,,,,,,"155mm Sensor Fused Munition-Bonus",,"Video"
