id,collection,dc.contributor.author,dc.contributor.author[],dc.date.accessioned,dc.date.accessioned[],dc.date.available,dc.date.available[],dc.date.issued,dc.date.issued[],dc.description.provenance[en],dc.identifier.uri,dc.language.iso[],dc.publisher[],dc.subject[],dc.title[],dc.title[en_US],dc.type[]
"e06e436f-8b64-4471-b563-10863944b8f5","108/33",,"US4706052(A)||Murata Manufacturing Co., Ltd.","2021-05-18T09:10:20Z","2016-12-02T09:57:35Z","2021-05-18T09:10:20Z","2016-12-02T09:57:35Z",,"1987-11-10","Made available in DSpace on 2016-12-02T09:57:35Z (GMT). No. of bitstreams: 1
us4706052(a).pdf: 415065 bytes, checksum: 65a6140afa662a827bd19b1b103ee736 (MD5)
  Previous issue date: 1987-11-10||Made available in DSpace on 2021-05-18T09:10:20Z (GMT). No. of bitstreams: 1
us4706052(a).pdf: 415065 bytes, checksum: 65a6140afa662a827bd19b1b103ee736 (MD5)
  Previous issue date: 1987-11-10","http://localhost:8080/xmlui/handle/108/21730",,,,"Dielectric resonator (TIRC 16939)",,
"e072b8df-41e3-45ee-9e48-204f1a4b6046","108/33",,"US3458915(A)||None","2021-05-18T09:21:20Z","2016-12-02T09:58:43Z","2021-05-18T09:21:20Z","2016-12-02T09:58:43Z",,"1969-08-05","Made available in DSpace on 2016-12-02T09:58:43Z (GMT). No. of bitstreams: 1
us3458915(a).pdf: 608698 bytes, checksum: 84a849b314e3a5936f0755251ddc4267 (MD5)
  Previous issue date: 1969-08-05||Made available in DSpace on 2021-05-18T09:21:20Z (GMT). No. of bitstreams: 1
us3458915(a).pdf: 608698 bytes, checksum: 84a849b314e3a5936f0755251ddc4267 (MD5)
  Previous issue date: 1969-08-05","http://localhost:8080/xmlui/handle/108/22641",,,,"METHOD OF MAKING A PIEZOELECTRIC DEVICE (TIRC 9436)",,
"e074a91f-f526-4297-baf9-33376412bb30","108/33",,"US5372334A||Hughes Missile Systems Company","2021-05-18T09:04:07Z","2016-12-02T09:58:47Z","2021-05-18T09:04:07Z","2016-12-02T09:58:47Z",,"1994-12-13","Made available in DSpace on 2016-12-02T09:58:47Z (GMT). No. of bitstreams: 1
us5372334a.pdf: 918201 bytes, checksum: 5ddaf6414df329a7c7d6dc2c8783a29d (MD5)
  Previous issue date: 1994-12-13||Made available in DSpace on 2021-05-18T09:04:07Z (GMT). No. of bitstreams: 1
us5372334a.pdf: 918201 bytes, checksum: 5ddaf6414df329a7c7d6dc2c8783a29d (MD5)
  Previous issue date: 1994-12-13","http://localhost:8080/xmlui/handle/108/22704",,,,"Local vertical sensor for externally-guided projectiles",,
"e08a8e60-eb13-4cf2-9dc2-60e80c51481f","108/33",,"US20050225320A1||{n/a}","2021-05-18T09:05:28Z","2016-12-02T09:57:52Z","2021-05-18T09:05:28Z","2016-12-02T09:57:52Z",,"2005-10-13","Made available in DSpace on 2016-12-02T09:57:52Z (GMT). No. of bitstreams: 1
us20050225320a1.pdf: 1144419 bytes, checksum: 47d2df9f12baa89595364c36d7fa5851 (MD5)
  Previous issue date: 2005-10-13||Made available in DSpace on 2021-05-18T09:05:28Z (GMT). No. of bitstreams: 1
us20050225320a1.pdf: 1144419 bytes, checksum: 47d2df9f12baa89595364c36d7fa5851 (MD5)
  Previous issue date: 2005-10-13","http://localhost:8080/xmlui/handle/108/21910",,,,"Inductive position sensor",,
"e0ae798c-1227-47d3-88a4-613de4175909","108/33",,"US20040231552A1||{n/a}","2021-05-18T09:05:18Z","2016-12-02T09:57:51Z","2021-05-18T09:05:18Z","2016-12-02T09:57:51Z",,"2004-11-25","Made available in DSpace on 2016-12-02T09:57:51Z (GMT). No. of bitstreams: 1
us20040231552a1.pdf: 3251890 bytes, checksum: 739f294c8aa5535c88f55a2a9c5aa2fe (MD5)
  Previous issue date: 2004-11-25||Made available in DSpace on 2021-05-18T09:05:18Z (GMT). No. of bitstreams: 1
us20040231552a1.pdf: 3251890 bytes, checksum: 739f294c8aa5535c88f55a2a9c5aa2fe (MD5)
  Previous issue date: 2004-11-25","http://localhost:8080/xmlui/handle/108/21898",,,,"Kinetic energy cavity penetrator weapon",,
"e0c2caab-069a-4f2a-ba45-18c6d92ac472","108/33",,"US5102065A||Thomson - CSF","2021-05-18T09:14:07Z","2016-12-02T09:58:25Z","2021-05-18T09:14:07Z","2016-12-02T09:58:25Z",,"1992-04-07","Made available in DSpace on 2016-12-02T09:58:25Z (GMT). No. of bitstreams: 1
us5102065a.pdf: 609177 bytes, checksum: 0885630787e055baaf4c92d5e066245e (MD5)
  Previous issue date: 1992-04-07||Made available in DSpace on 2021-05-18T09:14:07Z (GMT). No. of bitstreams: 1
us5102065a.pdf: 609177 bytes, checksum: 0885630787e055baaf4c92d5e066245e (MD5)
  Previous issue date: 1992-04-07","http://localhost:8080/xmlui/handle/108/22383",,,,"System to correct the trajectory of a projectile",,
"e0da9efb-6d09-49b4-b5bb-74157ff47bfb","108/33",,"US3962146(A)||Matsushita Electric Industrial Co., Ltd.","2021-05-18T09:07:23Z","2016-12-02T09:57:31Z","2021-05-18T09:07:23Z","2016-12-02T09:57:31Z",,"1976-06-08","Made available in DSpace on 2016-12-02T09:57:31Z (GMT). No. of bitstreams: 1
us3962146(a).pdf: 503472 bytes, checksum: b6109f46c485710cb762768e02433970 (MD5)
  Previous issue date: 1976-06-08||Made available in DSpace on 2021-05-18T09:07:23Z (GMT). No. of bitstreams: 1
us3962146(a).pdf: 503472 bytes, checksum: b6109f46c485710cb762768e02433970 (MD5)
  Previous issue date: 1976-06-08","http://localhost:8080/xmlui/handle/108/21694",,,,"PTC Thermistor composition and method of making the same (TIRC 16052)",,
"e0f4a350-ef99-444c-a11c-cc0c666122c9","108/33",,"US4214231(A)||The United States of America as represented","2021-05-18T09:16:12Z","2016-12-02T09:58:31Z","2021-05-18T09:16:12Z","2016-12-02T09:58:31Z",,"1980-07-22","Made available in DSpace on 2016-12-02T09:58:31Z (GMT). No. of bitstreams: 1
us4214231(a).pdf: 661130 bytes, checksum: 82a4ef2232cebffcd507e00c6338d5b8 (MD5)
  Previous issue date: 1980-07-22||Made available in DSpace on 2021-05-18T09:16:12Z (GMT). No. of bitstreams: 1
us4214231(a).pdf: 661130 bytes, checksum: 82a4ef2232cebffcd507e00c6338d5b8 (MD5)
  Previous issue date: 1980-07-22","http://localhost:8080/xmlui/handle/108/22475",,,,"In-bore telemetry information measuring system (TIRC 17935)",,
"e12d70bb-9bdb-4f22-b204-b5e5fa99e626","108/33",,"US3759466A||The United States of America as represented by the","2021-05-18T09:21:23Z","2016-12-02T09:58:43Z","2021-05-18T09:21:23Z","2016-12-02T09:58:43Z",,"1973-09-18","Made available in DSpace on 2016-12-02T09:58:43Z (GMT). No. of bitstreams: 1
us3759466a.pdf: 396559 bytes, checksum: 2bf2e9f9fa197287a9db7cc9cc68dbab (MD5)
  Previous issue date: 1973-09-18||Made available in DSpace on 2021-05-18T09:21:23Z (GMT). No. of bitstreams: 1
us3759466a.pdf: 396559 bytes, checksum: 2bf2e9f9fa197287a9db7cc9cc68dbab (MD5)
  Previous issue date: 1973-09-18","http://localhost:8080/xmlui/handle/108/22649",,,,"CRUISE CONTROL FOR NON-BALLISTIC MISSILES BY A SPECIAL ARRANGEMENT OF SPOILERS",,
"e1420b7d-7484-443e-a9b1-6a821403fd08","108/33",,"US3113927(A)||WESTINGHOUSE ELECTRIC CORP","2021-05-18T09:21:27Z","2016-12-02T09:58:43Z","2021-05-18T09:21:27Z","2016-12-02T09:58:43Z",,"1963-12-10","Made available in DSpace on 2016-12-02T09:58:43Z (GMT). No. of bitstreams: 1
us3113927(a).pdf: 777843 bytes, checksum: 5b39f6e793367a385054b011dcd5a426 (MD5)
  Previous issue date: 1963-12-10||Made available in DSpace on 2021-05-18T09:21:27Z (GMT). No. of bitstreams: 1
us3113927(a).pdf: 777843 bytes, checksum: 5b39f6e793367a385054b011dcd5a426 (MD5)
  Previous issue date: 1963-12-10","http://localhost:8080/xmlui/handle/108/22642",,,,"Ferrite magnets ( TIRC 7066 )",,
