,id,dc.contributor.author[],dc.date.issued[],dc.description.provenance[en],dc.identifier.uri,dc.title[],dc.title[en_US],MyTitle
0,001a57a9-1844-4245-9724-d7ec1207a6b1,GOST 13076-86,1986.0,"Made available in DSpace on 2016-11-24T11:10:02Z (GMT). No. of bitstreams: 1
13076-86.pdf: 616967 bytes, checksum: 311f927767377a241459e72d99f28ec6 (MD5)
  Previous issue date: 1986||Made available in DSpace on 2021-04-09T10:51:37Z (GMT). No. of bitstreams: 1
13076-86.pdf: 616967 bytes, checksum: 311f927767377a241459e72d99f28ec6 (MD5)
  Previous issue date: 1986",http://localhost:8080/xmlui/handle/108/2343,Synthetic Oil Technical Specifications,,Synthetic Oil Technical Specifications
1,008bede4-a8bb-4409-89d2-d2bd15352883,GOST 1508-78,1978.0,"Made available in DSpace on 2016-11-24T11:10:34Z (GMT). No. of bitstreams: 1
1508-78.pdf: 3592735 bytes, checksum: 98e5f839ab9393306d8e0e22f1844fda (MD5)
  Previous issue date: 1978||Made available in DSpace on 2021-04-09T10:54:12Z (GMT). No. of bitstreams: 1
1508-78.pdf: 3592735 bytes, checksum: 98e5f839ab9393306d8e0e22f1844fda (MD5)
  Previous issue date: 1978",http://localhost:8080/xmlui/handle/108/2633,Rubber And Plastic Insulated Control Cables Specificatiions,,Rubber And Plastic Insulated Control Cables Specificatiions
2,02012e6d-264e-45b3-abd7-d9c0b5a6bb2e,GOST 29058-91,1991.0,"Made available in DSpace on 2016-11-24T11:10:11Z (GMT). No. of bitstreams: 1
29058-91.pdf: 883775 bytes, checksum: 117052aa84ff01d4b44e6537f89dfe45 (MD5)
  Previous issue date: 1991||Made available in DSpace on 2021-04-09T10:53:00Z (GMT). No. of bitstreams: 1
29058-91.pdf: 883775 bytes, checksum: 117052aa84ff01d4b44e6537f89dfe45 (MD5)
  Previous issue date: 1991",http://localhost:8080/xmlui/handle/108/2430,Women's overall for protection Against non-toxic dust specefications,,Women's overall for protection Against non-toxic dust specefications
3,02cb97d7-eb60-4e3f-bf12-2070348311d0,GOST 24671-84,1984.0,"Made available in DSpace on 2016-11-24T11:10:13Z (GMT). No. of bitstreams: 1
gost 24671-84.pdf: 333125 bytes, checksum: ba9c41e0c7cad59ef1bc28f4103d53b2 (MD5)
  Previous issue date: 1984||Made available in DSpace on 2021-04-09T10:53:00Z (GMT). No. of bitstreams: 1
gost 24671-84.pdf: 333125 bytes, checksum: ba9c41e0c7cad59ef1bc28f4103d53b2 (MD5)
  Previous issue date: 1984",http://localhost:8080/xmlui/handle/108/2446,"Hexagon head bolts, screw, wood screws and hexagon nuts. Width across flats.",,"Hexagon head bolts, screw, wood screws and hexagon nuts. Width across flats."
4,032c2af3-9a01-4a02-b47b-8a84ee4eeba9,GOST 8734-75,1975.0,"Made available in DSpace on 2016-11-24T11:09:54Z (GMT). No. of bitstreams: 1
8734-75.pdf: 1262332 bytes, checksum: 3a45ecd650d436c809f77f422aaf2c39 (MD5)
  Previous issue date: 1975||Made available in DSpace on 2021-04-09T10:50:44Z (GMT). No. of bitstreams: 1
8734-75.pdf: 1262332 bytes, checksum: 3a45ecd650d436c809f77f422aaf2c39 (MD5)
  Previous issue date: 1975",http://localhost:8080/xmlui/handle/108/2268,Cold-Deformed Seamless Steel Tubes Range,,Cold-Deformed Seamless Steel Tubes Range
5,036660b3-4fe3-4d76-a258-9241294cf9a1,GOST 24104-80,1980.0,"Made available in DSpace on 2016-11-24T11:10:13Z (GMT). No. of bitstreams: 1
gost 24104-80.pdf: 2070285 bytes, checksum: cd5c7185113ee7c8a09ae1897b1c9379 (MD5)
  Previous issue date: 1980||Made available in DSpace on 2021-04-09T10:53:04Z (GMT). No. of bitstreams: 1
gost 24104-80.pdf: 2070285 bytes, checksum: cd5c7185113ee7c8a09ae1897b1c9379 (MD5)
  Previous issue date: 1980",http://localhost:8080/xmlui/handle/108/2448,General purpose and comparison laboratory scales. General technical specifications.,,General purpose and comparison laboratory scales. General technical specifications.
6,054938c2-e37e-45e3-8d70-a8d80bf84188,GOST 14249-89,1989.0,"Made available in DSpace on 2016-11-24T11:10:04Z (GMT). No. of bitstreams: 1
14249-89.pdf: 6740407 bytes, checksum: 519c0afb71538bb5138eeedc0fd92370 (MD5)
  Previous issue date: 1989||Made available in DSpace on 2021-04-09T10:51:48Z (GMT). No. of bitstreams: 1
14249-89.pdf: 6740407 bytes, checksum: 519c0afb71538bb5138eeedc0fd92370 (MD5)
  Previous issue date: 1989",http://localhost:8080/xmlui/handle/108/2359,Vessels and Apparatus norms and methods of calculating strength,,Vessels and Apparatus norms and methods of calculating strength
7,05b68cff-6230-4b15-a94d-24e7475282ab,GOST 6217-74,1974.0,"Made available in DSpace on 2016-11-24T11:09:44Z (GMT). No. of bitstreams: 1
6217-74.pdf: 757780 bytes, checksum: 4a5e0c321b8903a0eab22f223e340683 (MD5)
  Previous issue date: 1974||Made available in DSpace on 2021-04-09T10:54:14Z (GMT). No. of bitstreams: 1
6217-74.pdf: 757780 bytes, checksum: 4a5e0c321b8903a0eab22f223e340683 (MD5)
  Previous issue date: 1974",http://localhost:8080/xmlui/handle/108/2177,Activated crushed charcoal Specefications,,Activated crushed charcoal Specefications
8,06cd4c3c-e4b2-452f-82ae-90910c1cdd3c,GOST 23511-79,1979.0,"Made available in DSpace on 2016-11-24T11:10:15Z (GMT). No. of bitstreams: 1
23511-79.pdf: 2192009 bytes, checksum: 2b418a9b0159e25f4c4bd83d3aa90d85 (MD5)
  Previous issue date: 1979||Made available in DSpace on 2021-04-09T10:53:24Z (GMT). No. of bitstreams: 1
23511-79.pdf: 2192009 bytes, checksum: 2b418a9b0159e25f4c4bd83d3aa90d85 (MD5)
  Previous issue date: 1979",http://localhost:8080/xmlui/handle/108/2465,Industrial radio-interference from electrom echanical appliances used in dwelling houses or connected to their electrical mains.,,Industrial radio-interference from electrom echanical appliances used in dwelling houses or connected to their electrical mains.
9,0770b07c-5cca-41d1-ba57-16558299432a,GOST 4333-87,1987.0,"Made available in DSpace on 2016-11-24T11:09:41Z (GMT). No. of bitstreams: 1
4333-87.pdf: 847426 bytes, checksum: 66e6a82b82b6f2b6b02d70532e4d9fba (MD5)
  Previous issue date: 1987||Made available in DSpace on 2021-04-09T10:49:52Z (GMT). No. of bitstreams: 1
4333-87.pdf: 847426 bytes, checksum: 66e6a82b82b6f2b6b02d70532e4d9fba (MD5)
  Previous issue date: 1987",http://localhost:8080/xmlui/handle/108/2157,Petroleum Products Methods for determination of open cup flash and fire points 1897,,Petroleum Products Methods for determination of open cup flash and fire points 1897
