,id,dc.contributor.author[],dc.date.issued[],dc.description.provenance[en],dc.identifier.uri,dc.title[],dc.title[en_US],MyTitle
215,36bced96-ce50-4dab-bb1d-5d72240b577f,ARDE PS 135,,"Made available in DSpace on 2016-11-24T06:07:48Z (GMT). No. of bitstreams: 1
ss00458.pdf: 27857809 bytes, checksum: 46be096f3b9559dc46b1b4a34969d049 (MD5)||Made available in DSpace on 2021-06-08T06:49:49Z (GMT). No. of bitstreams: 1
ss00458.pdf: 27857809 bytes, checksum: 46be096f3b9559dc46b1b4a34969d049 (MD5)",http://localhost:8080/xmlui/handle/108/298,PYROTECHNIC IGNITER CARTRIDGE PV-50 FOR MIG-21M AND 21MF TYPE 96 AIRCRAFT EMPTY,,PYROTECHNIC IGNITER CARTRIDGE PV-50 FOR MIG-21M AND 21MF TYPE 96 AIRCRAFT EMPTY
216,3722c882-f84d-4a98-bc85-ff14cd946c32,ARDE PS 92  &  CRE PS 002,1978.0,"Made available in DSpace on 2016-11-24T06:07:27Z (GMT). No. of bitstreams: 1
ss00416.pdf: 7767767 bytes, checksum: 2928a40749ab0a4fedb1508d9268834d (MD5)
  Previous issue date: 1978||Made available in DSpace on 2021-06-08T06:48:05Z (GMT). No. of bitstreams: 1
ss00416.pdf: 7767767 bytes, checksum: 2928a40749ab0a4fedb1508d9268834d (MD5)
  Previous issue date: 1978",http://localhost:8080/xmlui/handle/108/156,CARTRIDGE PK-3M-1 FOR MIG-21 AIRCRAFT FILLED,,CARTRIDGE PK-3M-1 FOR MIG-21 AIRCRAFT FILLED
218,e829bfea-92c1-4a86-b926-528afb920cf4,ARDE SPEC 208  &  CRE SPEC 002,1978.0,"Made available in DSpace on 2016-11-24T06:07:13Z (GMT). No. of bitstreams: 1
ss00230.pdf: 16943705 bytes, checksum: 95095d6b23cfe779cea0322bc7fe7e1d (MD5)
  Previous issue date: 1978||Made available in DSpace on 2021-06-08T06:52:54Z (GMT). No. of bitstreams: 1
ss00230.pdf: 16943705 bytes, checksum: 95095d6b23cfe779cea0322bc7fe7e1d (MD5)
  Previous issue date: 1978",http://localhost:8080/xmlui/handle/108/73,CARTRIDGE PK-3M-1 FOR MIG-21 AIRCRAFT FILLED,,CARTRIDGE PK-3M-1 FOR MIG-21 AIRCRAFT FILLED
220,373e3fe6-eeb0-435d-a882-db3edcdf082e,ARDE SPEC 277 278 279 280 281,,"Made available in DSpace on 2016-11-24T06:08:23Z (GMT). No. of bitstreams: 1
ss00294.pdf: 182791767 bytes, checksum: 363f1ec30fc98615feb8757351d65213 (MD5)||Made available in DSpace on 2021-06-08T06:52:10Z (GMT). No. of bitstreams: 1
ss00294.pdf: 182791767 bytes, checksum: 363f1ec30fc98615feb8757351d65213 (MD5)",http://localhost:8080/xmlui/handle/108/520,MINE ANTI-TANK NON-DETECTABLE MK.III BAR EMPTY 277 FILLED 278 FUZE EMPTY 279 FUZE FILLED 280 DETONATOR 281,,MINE ANTI-TANK NON-DETECTABLE MK.III BAR EMPTY 277 FILLED 278 FUZE EMPTY 279 FUZE FILLED 280 DETONATOR 281
221,37b88cdb-2ba6-48d2-aa68-5fdc1ae48b84,ARDE PS 189,1988.0,"Made available in DSpace on 2016-11-24T06:07:11Z (GMT). No. of bitstreams: 1
ss00490.pdf: 3058448 bytes, checksum: 250de9edbe6a920050641a49adf9c266 (MD5)
  Previous issue date: 1988||Made available in DSpace on 2021-06-08T06:48:45Z (GMT). No. of bitstreams: 1
ss00490.pdf: 3058448 bytes, checksum: 250de9edbe6a920050641a49adf9c266 (MD5)
  Previous issue date: 1988",http://localhost:8080/xmlui/handle/108/57,TRACER SHELL 30MM EMPTY,,TRACER SHELL 30MM EMPTY
223,783f54c0-d06b-4c84-aeb4-8b04859e68a3,ARDE SPEC 372,1988.0,"Made available in DSpace on 2016-11-24T06:08:14Z (GMT). No. of bitstreams: 1
ss00353.pdf: 1135082 bytes, checksum: 15c3717ba1be9819b84efa120bd89a4a (MD5)
  Previous issue date: 1988||Made available in DSpace on 2021-06-08T06:51:17Z (GMT). No. of bitstreams: 1
ss00353.pdf: 1135082 bytes, checksum: 15c3717ba1be9819b84efa120bd89a4a (MD5)
  Previous issue date: 1988",http://localhost:8080/xmlui/handle/108/469,TRACER SHELL 30MM EMPTY,,TRACER SHELL 30MM EMPTY
225,38061ffd-1a3e-4c77-8db8-6aa358ddf369,ARDE SPEC 136,1973.0,"Made available in DSpace on 2016-11-24T06:07:21Z (GMT). No. of bitstreams: 1
ss00168.pdf: 2121277 bytes, checksum: 7f914acf902f0e5d5e4613d52c5ae94b (MD5)
  Previous issue date: 1973||Made available in DSpace on 2021-06-08T06:53:33Z (GMT). No. of bitstreams: 1
ss00168.pdf: 2121277 bytes, checksum: 7f914acf902f0e5d5e4613d52c5ae94b (MD5)
  Previous issue date: 1973",http://localhost:8080/xmlui/handle/108/119,PRIMER PERCUSSION QF CARTRIDGE NO.- MK-,,PRIMER PERCUSSION QF CARTRIDGE NO.- MK-
226,3832ef7d-67cd-4e9b-8fd2-8c4515baf467,ARDE SPEC 139,1973.0,"Made available in DSpace on 2016-11-24T06:07:30Z (GMT). No. of bitstreams: 1
ss00171.pdf: 2384372 bytes, checksum: 0ee7f79700dddaef5e37df1d9b98a60d (MD5)
  Previous issue date: 1973||Made available in DSpace on 2021-06-08T06:48:15Z (GMT). No. of bitstreams: 1
ss00171.pdf: 2384372 bytes, checksum: 0ee7f79700dddaef5e37df1d9b98a60d (MD5)
  Previous issue date: 1973",http://localhost:8080/xmlui/handle/108/175,CARTRIDGE SEAT EJECTION DROGUE NO.1 MK.1 FOE GNAT AIRCRAFT INDIGENOUS EMPTY,,CARTRIDGE SEAT EJECTION DROGUE NO.1 MK.1 FOE GNAT AIRCRAFT INDIGENOUS EMPTY
227,38565203-2d59-4aaf-b8e0-b07a1fddaa0a,ARDE SPEC 249,1978.0,"Made available in DSpace on 2016-11-24T06:07:09Z (GMT). No. of bitstreams: 1
ss00271.pdf: 37860671 bytes, checksum: 3c931a2b846610570968d83fea0cc10c (MD5)
  Previous issue date: 1978||Made available in DSpace on 2021-06-08T06:52:32Z (GMT). No. of bitstreams: 1
ss00271.pdf: 37860671 bytes, checksum: 3c931a2b846610570968d83fea0cc10c (MD5)
  Previous issue date: 1978",http://localhost:8080/xmlui/handle/108/46,ROCKET MOTOR PROPULSION UNIT FILLED FOR ROCKET 122MM HE FRAGMENTATION,,ROCKET MOTOR PROPULSION UNIT FILLED FOR ROCKET 122MM HE FRAGMENTATION
228,3882f916-1f4d-4a5d-a024-1dcb37eaa6d8,ARDE SPEC 484,1992.0,"Made available in DSpace on 2016-11-24T06:07:58Z (GMT). No. of bitstreams: 1
ss02908.pdf: 6800289 bytes, checksum: 04ffadcb77e24d164bd55465a665e0f1 (MD5)
  Previous issue date: 1992||Made available in DSpace on 2021-06-08T06:50:18Z (GMT). No. of bitstreams: 1
ss02908.pdf: 6800289 bytes, checksum: 04ffadcb77e24d164bd55465a665e0f1 (MD5)
  Previous issue date: 1992",http://localhost:8080/xmlui/handle/108/355,HE shell 30mm filled (AK 230) (Prov),,HE shell 30mm filled (AK 230) (Prov)
