,id,dc.contributor.author[],dc.date.issued[],dc.description.provenance[en],dc.identifier.uri,dc.title[],dc.title[en_US],MyTitle
0,0035fac7-659c-4af6-a04c-3fd4be0b7f93,ARDE SPEC 120,1972.0,"Made available in DSpace on 2016-11-24T06:07:23Z (GMT). No. of bitstreams: 1
ss00157.pdf: 29457559 bytes, checksum: aef8a687c73a5801e21a9f847bc5b23f (MD5)
  Previous issue date: 1972||Made available in DSpace on 2021-06-08T06:48:13Z (GMT). No. of bitstreams: 1
ss00157.pdf: 29457559 bytes, checksum: aef8a687c73a5801e21a9f847bc5b23f (MD5)
  Previous issue date: 1972",http://localhost:8080/xmlui/handle/108/136,CARTRIDGE PHOTOFLASH 45MM NO.1 MK.1,,CARTRIDGE PHOTOFLASH 45MM NO.1 MK.1
2,7d59dc9c-8286-4d5d-8448-865e62ba4d8b,ARDE SPEC 119,1972.0,"Made available in DSpace on 2016-11-24T06:07:52Z (GMT). No. of bitstreams: 1
ss00156.pdf: 26183384 bytes, checksum: 0de835fa9c247f66786372760971d7e7 (MD5)
  Previous issue date: 1972||Made available in DSpace on 2021-06-08T06:50:16Z (GMT). No. of bitstreams: 1
ss00156.pdf: 26183384 bytes, checksum: 0de835fa9c247f66786372760971d7e7 (MD5)
  Previous issue date: 1972",http://localhost:8080/xmlui/handle/108/320,CARTRIDGE PHOTOFLASH 45MM NO.1 MK.1,,CARTRIDGE PHOTOFLASH 45MM NO.1 MK.1
4,003e380c-5752-4c63-908c-4d36828045fa,ARDE SPEC 133,1973.0,"Made available in DSpace on 2016-11-24T06:07:11Z (GMT). No. of bitstreams: 1
ss00166.pdf: 1522341 bytes, checksum: a2c5f89aa6bf96ea89a46df0bc025e0f (MD5)
  Previous issue date: 1973||Made available in DSpace on 2021-06-08T06:49:53Z (GMT). No. of bitstreams: 1
ss00166.pdf: 1522341 bytes, checksum: a2c5f89aa6bf96ea89a46df0bc025e0f (MD5)
  Previous issue date: 1973",http://localhost:8080/xmlui/handle/108/58,SIMULATOR 120MM MORTAR FIRE CH IV & VI FILLED,,SIMULATOR 120MM MORTAR FIRE CH IV & VI FILLED
5,00f0eff5-d298-4f60-9570-4f6e61db1092,ARDE SPEC 62,1969.0,"Made available in DSpace on 2016-11-24T06:08:19Z (GMT). No. of bitstreams: 1
ss00122.pdf: 2001590 bytes, checksum: 804e406107bb6a720d784a7768333700 (MD5)
  Previous issue date: 1969||Made available in DSpace on 2021-06-08T06:51:41Z (GMT). No. of bitstreams: 1
ss00122.pdf: 2001590 bytes, checksum: 804e406107bb6a720d784a7768333700 (MD5)
  Previous issue date: 1969",http://localhost:8080/xmlui/handle/108/496,DYE OIL SCARLET,,DYE OIL SCARLET
6,01304048-4922-4e14-b92a-c71c9282f0c6,ARDE PS 68,,"Made available in DSpace on 2016-11-24T06:08:12Z (GMT). No. of bitstreams: 1
ss00398.pdf: 12891244 bytes, checksum: b0ce6a43a4dfb457c7c4f81a122ccfb7 (MD5)||Made available in DSpace on 2021-06-08T06:50:19Z (GMT). No. of bitstreams: 1
ss00398.pdf: 12891244 bytes, checksum: b0ce6a43a4dfb457c7c4f81a122ccfb7 (MD5)",http://localhost:8080/xmlui/handle/108/455,TEST CAP FIRING MECHANISM NO.1 MK.1 ( 312K/15 ) FILLED,,TEST CAP FIRING MECHANISM NO.1 MK.1 ( 312K/15 ) FILLED
8,fba01214-2871-40fd-a454-e599fb1580e1,ARDE PS 68,,"Made available in DSpace on 2016-11-24T06:08:00Z (GMT). No. of bitstreams: 1
ss00397.pdf: 11265276 bytes, checksum: 91708b61342a38731008b991efc516c9 (MD5)||Made available in DSpace on 2021-06-08T06:50:57Z (GMT). No. of bitstreams: 1
ss00397.pdf: 11265276 bytes, checksum: 91708b61342a38731008b991efc516c9 (MD5)",http://localhost:8080/xmlui/handle/108/367,TEST CAP FIRING MECHANISM NO.1 MK.1 ( 312K/15 ) FILLED,,TEST CAP FIRING MECHANISM NO.1 MK.1 ( 312K/15 ) FILLED
10,023ecc64-98e6-4810-8668-09bea656b004,ARDE SPEC 299,,"Made available in DSpace on 2016-11-24T06:07:55Z (GMT). No. of bitstreams: 1
ss00311.pdf: 33206004 bytes, checksum: 2344b6e893b510a23c4f4f225f7e09fd (MD5)||Made available in DSpace on 2021-06-08T06:50:01Z (GMT). No. of bitstreams: 1
ss00311.pdf: 33206004 bytes, checksum: 2344b6e893b510a23c4f4f225f7e09fd (MD5)",http://localhost:8080/xmlui/handle/108/341,FLARE TRIP WIRE MK.II FILLED & FUZE MINE COMB M.605 MODIFIED FILLED,,FLARE TRIP WIRE MK.II FILLED & FUZE MINE COMB M.605 MODIFIED FILLED
11,02ce9e87-be9c-4582-9969-1b6929a24a19,ARDE PS 173,,"Made available in DSpace on 2016-11-24T06:07:24Z (GMT). No. of bitstreams: 1
ss00481.pdf: 12339653 bytes, checksum: c96675082781a96a9c03d52932a78c7f (MD5)||Made available in DSpace on 2021-06-08T06:48:07Z (GMT). No. of bitstreams: 1
ss00481.pdf: 12339653 bytes, checksum: c96675082781a96a9c03d52932a78c7f (MD5)",http://localhost:8080/xmlui/handle/108/142,FUZE VT 9A FOR AMMUNITION OQF 75/24 PACK HOWITZER EMPTY,,FUZE VT 9A FOR AMMUNITION OQF 75/24 PACK HOWITZER EMPTY
12,0369d48d-a729-4f4d-abe7-3e9b368c3a43,ARDE SPEC 264,,"Made available in DSpace on 2016-11-24T06:08:21Z (GMT). No. of bitstreams: 1
ss00284.pdf: 24900760 bytes, checksum: 9acae06d03afee948a3aead6ca713a77 (MD5)||Made available in DSpace on 2021-06-08T06:52:07Z (GMT). No. of bitstreams: 1
ss00284.pdf: 24900760 bytes, checksum: 9acae06d03afee948a3aead6ca713a77 (MD5)",http://localhost:8080/xmlui/handle/108/508,CARTRIDGE ELECTRIC OPERATING FIRE EXTINGUISHER 3 PIN NO.1 MK.3 EMPTY,,CARTRIDGE ELECTRIC OPERATING FIRE EXTINGUISHER 3 PIN NO.1 MK.3 EMPTY
14,782b7691-81c1-4bbd-af97-704586adf244,ARDE PS 123,,"Made available in DSpace on 2016-11-24T06:07:23Z (GMT). No. of bitstreams: 1
ss00449.pdf: 625550 bytes, checksum: 321167d1ee73ec473d1434e612b74582 (MD5)||Made available in DSpace on 2021-06-08T06:48:06Z (GMT). No. of bitstreams: 1
ss00449.pdf: 625550 bytes, checksum: 321167d1ee73ec473d1434e612b74582 (MD5)",http://localhost:8080/xmlui/handle/108/133,CARTRIDGE ELECTRIC OPERATING FIRE EXTINGUISHER 3 PIN NO.1 MK.3 EMPTY,,CARTRIDGE ELECTRIC OPERATING FIRE EXTINGUISHER 3 PIN NO.1 MK.3 EMPTY
16,03bb0078-0e49-4588-ad06-1ce47d8d4854,ARDE PS 88,1977.0,"Made available in DSpace on 2016-11-24T06:07:23Z (GMT). No. of bitstreams: 1
ss00411.pdf: 2550687 bytes, checksum: 6c80716e3896c6b7adf64eb114303310 (MD5)
  Previous issue date: 1977||Made available in DSpace on 2021-06-08T06:48:08Z (GMT). No. of bitstreams: 1
ss00411.pdf: 2550687 bytes, checksum: 6c80716e3896c6b7adf64eb114303310 (MD5)
  Previous issue date: 1977",http://localhost:8080/xmlui/handle/108/134,CARTRIDGE IGNITER PV-35 FOR S-22 AIRCRAFT EMPTY,,CARTRIDGE IGNITER PV-35 FOR S-22 AIRCRAFT EMPTY
17,04917953-91b4-463f-9a85-30f9221e1000,ARDE PS 130,,"Made available in DSpace on 2016-11-24T06:07:49Z (GMT). No. of bitstreams: 1
ss00452.pdf: 12708190 bytes, checksum: 9b896961877950cf351dc8e63d95366e (MD5)||Made available in DSpace on 2021-06-08T06:49:48Z (GMT). No. of bitstreams: 1
ss00452.pdf: 12708190 bytes, checksum: 9b896961877950cf351dc8e63d95366e (MD5)",http://localhost:8080/xmlui/handle/108/305,CARTRIDGE EJECTOR RELEASE UNIT TYPE ARD-863-1 FOR AJEET AIRCRAFT FILLED,,CARTRIDGE EJECTOR RELEASE UNIT TYPE ARD-863-1 FOR AJEET AIRCRAFT FILLED
18,04d71e7d-69d4-42e7-aa02-be3d8d72398e,ARDE PS 232,1992.0,"Made available in DSpace on 2016-11-24T06:08:10Z (GMT). No. of bitstreams: 1
ss02825.pdf: 6761165 bytes, checksum: 5a9be6aa90f2075a5157ea817f2594b0 (MD5)
  Previous issue date: 1992||Made available in DSpace on 2021-06-08T06:50:00Z (GMT). No. of bitstreams: 1
ss02825.pdf: 6761165 bytes, checksum: 5a9be6aa90f2075a5157ea817f2594b0 (MD5)
  Previous issue date: 1992",http://localhost:8080/xmlui/handle/108/439,Fuze percussion DASD for 30mm naval ammunition (prov),,Fuze percussion DASD for 30mm naval ammunition (prov)
20,7ff9e8bb-59fd-431f-ac5d-5102b49786a2,ARDE PS 232,1992.0,"Made available in DSpace on 2016-11-24T06:07:58Z (GMT). No. of bitstreams: 1
ss02813.pdf: 30415048 bytes, checksum: fe42ae531e88cf4f1848017032475592 (MD5)
  Previous issue date: 1992||Made available in DSpace on 2021-06-08T06:51:03Z (GMT). No. of bitstreams: 1
ss02813.pdf: 30415048 bytes, checksum: fe42ae531e88cf4f1848017032475592 (MD5)
  Previous issue date: 1992",http://localhost:8080/xmlui/handle/108/353,Fuze percussion DASD for 30mm naval ammunition (prov),,Fuze percussion DASD for 30mm naval ammunition (prov)
22,058dd608-0f68-47ff-8c4e-6228ecd1613c,ARDE SPEC 76,1970.0,"Made available in DSpace on 2016-11-24T06:08:25Z (GMT). No. of bitstreams: 1
ss00130.pdf: 9608667 bytes, checksum: 2bf59076363b810cb5d167df9b9b6388 (MD5)
  Previous issue date: 1970||Made available in DSpace on 2021-06-08T06:51:59Z (GMT). No. of bitstreams: 1
ss00130.pdf: 9608667 bytes, checksum: 2bf59076363b810cb5d167df9b9b6388 (MD5)
  Previous issue date: 1970",http://localhost:8080/xmlui/handle/108/535,CORD PYROTECHNIC DETECTOR FOR MANUFACTURE AND PROOF OF PYRO-WICKS,,CORD PYROTECHNIC DETECTOR FOR MANUFACTURE AND PROOF OF PYRO-WICKS
23,0642242c-2fd1-4114-8aca-72ca91925e1d,ARDE SPEC 117,1971.0,"Made available in DSpace on 2016-11-24T06:07:44Z (GMT). No. of bitstreams: 1
ss00154.pdf: 15252169 bytes, checksum: b3aad2298f6f6d7a532238c8db3643b4 (MD5)
  Previous issue date: 1971||Made available in DSpace on 2021-06-08T06:48:55Z (GMT). No. of bitstreams: 1
ss00154.pdf: 15252169 bytes, checksum: b3aad2298f6f6d7a532238c8db3643b4 (MD5)
  Previous issue date: 1971",http://localhost:8080/xmlui/handle/108/272,BOMB 120MM MORTAR SCREENING SMOKE BURSTING TYPE PWP FILLED,,BOMB 120MM MORTAR SCREENING SMOKE BURSTING TYPE PWP FILLED
24,06e36e06-9cea-440d-857a-48f19728d56e,ARDE SPEC 476,1992.0,"Made available in DSpace on 2016-11-24T06:07:22Z (GMT). No. of bitstreams: 1
ss03022.pdf: 5742753 bytes, checksum: 20038681e6cb27d8299df012149ec0a8 (MD5)
  Previous issue date: 1992||Made available in DSpace on 2021-06-08T06:47:55Z (GMT). No. of bitstreams: 1
ss03022.pdf: 5742753 bytes, checksum: 20038681e6cb27d8299df012149ec0a8 (MD5)
  Previous issue date: 1992",http://localhost:8080/xmlui/handle/108/130,Free swimmers distress signal - Day/night,,Free swimmers distress signal - Day/night
26,2005961f-7421-4c8d-8222-eb47bb28149a,ARDE SPEC 476,1992.0,"Made available in DSpace on 2016-11-24T06:07:51Z (GMT). No. of bitstreams: 1
ss02807.pdf: 6211276 bytes, checksum: ae520b31c00b0333da92732c0c65b3b3 (MD5)
  Previous issue date: 1992||Made available in DSpace on 2021-06-08T06:49:56Z (GMT). No. of bitstreams: 1
ss02807.pdf: 6211276 bytes, checksum: ae520b31c00b0333da92732c0c65b3b3 (MD5)
  Previous issue date: 1992",http://localhost:8080/xmlui/handle/108/313,Free swimmers distress signal - Day/night,,Free swimmers distress signal - Day/night
28,0720e944-db85-4d27-9ff0-13dbfaaa295c,ARDE PS 115,1978.0,"Made available in DSpace on 2016-11-24T06:07:25Z (GMT). No. of bitstreams: 1
ss00439.pdf: 2365591 bytes, checksum: b4a9ee337506a249f2ab8fdc451e5edc (MD5)
  Previous issue date: 1978||Made available in DSpace on 2021-06-08T06:48:08Z (GMT). No. of bitstreams: 1
ss00439.pdf: 2365591 bytes, checksum: b4a9ee337506a249f2ab8fdc451e5edc (MD5)
  Previous issue date: 1978",http://localhost:8080/xmlui/handle/108/150,FUZE VT 7A FILLED,,FUZE VT 7A FILLED
29,07944783-5544-490c-bfde-8ab83b422d6a,ARDE SPEC 263,,"Made available in DSpace on 2016-11-24T06:08:24Z (GMT). No. of bitstreams: 1
ss00283.pdf: 31637968 bytes, checksum: d3633612198c249ca5fbcb811277e6ec (MD5)||Made available in DSpace on 2021-06-08T06:52:19Z (GMT). No. of bitstreams: 1
ss00283.pdf: 31637968 bytes, checksum: d3633612198c249ca5fbcb811277e6ec (MD5)",http://localhost:8080/xmlui/handle/108/522,CARTRIDGE CANOPY JETTISONING CLAMSHELL FOR KIRAN AIRCRAFT FILLED,,CARTRIDGE CANOPY JETTISONING CLAMSHELL FOR KIRAN AIRCRAFT FILLED
33,589c6bf0-1b63-4fdc-bef5-883fa16da145,ARDE SPEC 263,,"Made available in DSpace on 2016-11-24T06:08:07Z (GMT). No. of bitstreams: 1
ss00282.pdf: 33680888 bytes, checksum: 8603992fc34ef07ba26172c46c733b8c (MD5)||Made available in DSpace on 2021-06-08T06:48:29Z (GMT). No. of bitstreams: 1
ss00282.pdf: 33680888 bytes, checksum: 8603992fc34ef07ba26172c46c733b8c (MD5)",http://localhost:8080/xmlui/handle/108/409,CARTRIDGE CANOPY JETTISONING CLAMSHELL FOR KIRAN AIRCRAFT FILLED,,CARTRIDGE CANOPY JETTISONING CLAMSHELL FOR KIRAN AIRCRAFT FILLED
37,6d3ece82-1711-4073-aa63-db780a18dbfd,ARDE PS 122,,"Made available in DSpace on 2016-11-24T06:07:08Z (GMT). No. of bitstreams: 1
ss00447.pdf: 6095553 bytes, checksum: 8292b0fceecd56e2465ec390ecf6756d (MD5)||Made available in DSpace on 2021-06-08T06:50:16Z (GMT). No. of bitstreams: 1
ss00447.pdf: 6095553 bytes, checksum: 8292b0fceecd56e2465ec390ecf6756d (MD5)",http://localhost:8080/xmlui/handle/108/123443,CARTRIDGE CANOPY JETTISONING CLAMSHELL FOR KIRAN AIRCRAFT FILLED,,CARTRIDGE CANOPY JETTISONING CLAMSHELL FOR KIRAN AIRCRAFT FILLED
41,82f8c409-3029-497e-92ce-9197840a6f41,ARDE PS 122,,"Made available in DSpace on 2016-11-24T06:07:53Z (GMT). No. of bitstreams: 1
ss00448.pdf: 1866507 bytes, checksum: 657514e8a6597dbdc6fac2008fba676d (MD5)||Made available in DSpace on 2021-06-08T06:50:48Z (GMT). No. of bitstreams: 1
ss00448.pdf: 1866507 bytes, checksum: 657514e8a6597dbdc6fac2008fba676d (MD5)",http://localhost:8080/xmlui/handle/108/325,CARTRIDGE CANOPY JETTISONING CLAMSHELL FOR KIRAN AIRCRAFT FILLED,,CARTRIDGE CANOPY JETTISONING CLAMSHELL FOR KIRAN AIRCRAFT FILLED
45,089ddc77-a0ea-4f39-8a15-b1dbece821f4,ARDE PS 65,,"Made available in DSpace on 2016-11-24T06:07:57Z (GMT). No. of bitstreams: 1
ss00393.pdf: 4273354 bytes, checksum: e1c35865f4b0a6d4c04607d215908227 (MD5)||Made available in DSpace on 2021-06-08T06:51:02Z (GMT). No. of bitstreams: 1
ss00393.pdf: 4273354 bytes, checksum: e1c35865f4b0a6d4c04607d215908227 (MD5)",http://localhost:8080/xmlui/handle/108/347,CARTRIDGE CANOPY UNLOCKING PV-1 FOR MIG AIRCRAFT INDIGENOUS EMPTY,,CARTRIDGE CANOPY UNLOCKING PV-1 FOR MIG AIRCRAFT INDIGENOUS EMPTY
46,093b8908-2459-4b1b-b716-c6bb714cd4d2,ARDE SPEC 375,1988.0,"Made available in DSpace on 2016-11-24T06:07:47Z (GMT). No. of bitstreams: 1
ss00356.pdf: 9731129 bytes, checksum: 2e459110a57f1bf48e58f96aba4b892a (MD5)
  Previous issue date: 1988||Made available in DSpace on 2021-06-08T06:49:23Z (GMT). No. of bitstreams: 1
ss00356.pdf: 9731129 bytes, checksum: 2e459110a57f1bf48e58f96aba4b892a (MD5)
  Previous issue date: 1988",http://localhost:8080/xmlui/handle/108/294,CARTRIDGE QF 30MM TRACER,,CARTRIDGE QF 30MM TRACER
48,93ceea6d-3518-46f7-9fc1-7438083698db,ARDE PS 193,1988.0,"Made available in DSpace on 2016-11-24T06:08:15Z (GMT). No. of bitstreams: 1
ss00494.pdf: 23181921 bytes, checksum: be387d00785a2f4afe922031dd6e793c (MD5)
  Previous issue date: 1988||Made available in DSpace on 2021-06-08T06:51:26Z (GMT). No. of bitstreams: 1
ss00494.pdf: 23181921 bytes, checksum: be387d00785a2f4afe922031dd6e793c (MD5)
  Previous issue date: 1988",http://localhost:8080/xmlui/handle/108/478,CARTRIDGE QF 30MM TRACER,,CARTRIDGE QF 30MM TRACER
50,09701ee8-2eb3-416a-9116-6ad77caedf57,ARDE SPEC 235,,"Made available in DSpace on 2016-11-24T06:07:37Z (GMT). No. of bitstreams: 1
ss00255.pdf: 413327 bytes, checksum: 7290fad3ffdbfd032ddbf535297b540c (MD5)||Made available in DSpace on 2021-06-08T06:48:48Z (GMT). No. of bitstreams: 1
ss00255.pdf: 413327 bytes, checksum: 7290fad3ffdbfd032ddbf535297b540c (MD5)",http://localhost:8080/xmlui/handle/108/223,CARTRIDGE SEAT EJECTION PRIMARY 1 & CARTRIDGE SEAT EJECTION SECONDARY 2 FOR HF-24 AIRCRAFT FILLED,,CARTRIDGE SEAT EJECTION PRIMARY 1 & CARTRIDGE SEAT EJECTION SECONDARY 2 FOR HF-24 AIRCRAFT FILLED
51,0a090b9f-ce88-40c3-8e8e-9c1ae87a6c83,ARDE SPEC 262,,"Made available in DSpace on 2016-11-24T06:08:25Z (GMT). No. of bitstreams: 1
ss00281.pdf: 37678815 bytes, checksum: d5afe00b9f1ce032816b6c5559c34207 (MD5)||Made available in DSpace on 2021-06-08T06:51:47Z (GMT). No. of bitstreams: 1
ss00281.pdf: 37678815 bytes, checksum: d5afe00b9f1ce032816b6c5559c34207 (MD5)",http://localhost:8080/xmlui/handle/108/529,CARTRIDGE CANOPY JETTISONING CLAMSHELL FOR KIRAN AIRCRAFT EMPTY,,CARTRIDGE CANOPY JETTISONING CLAMSHELL FOR KIRAN AIRCRAFT EMPTY
55,2a4e74e1-a4fa-492c-abec-e9c9328233be,ARDE PS 121,,"Made available in DSpace on 2016-11-24T06:07:36Z (GMT). No. of bitstreams: 1
ss00446.pdf: 3529710 bytes, checksum: d0431a1e8fb38cae76874e0074e166ae (MD5)||Made available in DSpace on 2021-06-08T06:48:43Z (GMT). No. of bitstreams: 1
ss00446.pdf: 3529710 bytes, checksum: d0431a1e8fb38cae76874e0074e166ae (MD5)",http://localhost:8080/xmlui/handle/108/214,CARTRIDGE CANOPY JETTISONING CLAMSHELL FOR KIRAN AIRCRAFT EMPTY,,CARTRIDGE CANOPY JETTISONING CLAMSHELL FOR KIRAN AIRCRAFT EMPTY
59,2dca56df-0288-45dc-8b43-071cd95e41d8,ARDE SPEC 262,,"Made available in DSpace on 2016-11-24T06:08:04Z (GMT). No. of bitstreams: 1
ss00280.pdf: 36847856 bytes, checksum: d41bb388a4dfc0e2606dee9589c89b6a (MD5)||Made available in DSpace on 2021-06-08T06:47:55Z (GMT). No. of bitstreams: 1
ss00280.pdf: 36847856 bytes, checksum: d41bb388a4dfc0e2606dee9589c89b6a (MD5)",http://localhost:8080/xmlui/handle/108/394,CARTRIDGE CANOPY JETTISONING CLAMSHELL FOR KIRAN AIRCRAFT EMPTY,,CARTRIDGE CANOPY JETTISONING CLAMSHELL FOR KIRAN AIRCRAFT EMPTY
63,c02038ca-ad5d-4dcd-8e10-a4935960e164,ARDE PS 121,,"Made available in DSpace on 2016-11-24T06:08:09Z (GMT). No. of bitstreams: 1
ss00445.pdf: 2832318 bytes, checksum: 6e46a66bfa75ddf3a4ebb0a7de122d4c (MD5)||Made available in DSpace on 2021-06-08T06:49:19Z (GMT). No. of bitstreams: 1
ss00445.pdf: 2832318 bytes, checksum: 6e46a66bfa75ddf3a4ebb0a7de122d4c (MD5)",http://localhost:8080/xmlui/handle/108/422,CARTRIDGE CANOPY JETTISONING CLAMSHELL FOR KIRAN AIRCRAFT EMPTY,,CARTRIDGE CANOPY JETTISONING CLAMSHELL FOR KIRAN AIRCRAFT EMPTY
67,0a1597da-2801-466e-8354-7aa3e5138671,ARDE SPEC 205A,1994.0,"Made available in DSpace on 2016-11-24T06:08:11Z (GMT). No. of bitstreams: 1
ss03079.pdf: 646944 bytes, checksum: 5db8093e1abacf8c14a8376cf7f11e0d (MD5)
  Previous issue date: 1994||Made available in DSpace on 2021-06-08T06:50:45Z (GMT). No. of bitstreams: 1
ss03079.pdf: 646944 bytes, checksum: 5db8093e1abacf8c14a8376cf7f11e0d (MD5)
  Previous issue date: 1994",http://localhost:8080/xmlui/handle/108/446,"Cartridges submerged ejector signals (Red, Green and Yellow) - Consolidated star pellets Type A,B and C",,"Cartridges submerged ejector signals (Red, Green and Yellow) - Consolidated star pellets Type A,B and C"
68,0a19ce92-a380-40fa-a4da-bdd24ac6d3e6,ARDE SPEC 154,1975.0,"Made available in DSpace on 2016-11-24T06:08:19Z (GMT). No. of bitstreams: 1
ss00187.pdf: 1000276 bytes, checksum: 313eab2916739864216ea3fc1655c999 (MD5)
  Previous issue date: 1975||Made available in DSpace on 2021-06-08T06:51:48Z (GMT). No. of bitstreams: 1
ss00187.pdf: 1000276 bytes, checksum: 313eab2916739864216ea3fc1655c999 (MD5)
  Previous issue date: 1975",http://localhost:8080/xmlui/handle/108/497,GLASS FIBRE FOR USE IN EXPLOSIVE COMPOSITION,,GLASS FIBRE FOR USE IN EXPLOSIVE COMPOSITION
69,0b042e84-8328-4627-8e81-1d572e8cf230,ARDE SPEC 45,1968.0,"Made available in DSpace on 2016-11-24T06:07:18Z (GMT). No. of bitstreams: 1
ss00044.pdf: 5033280 bytes, checksum: eb8c889d27ff34b042ec15082fad2dd3 (MD5)
  Previous issue date: 1968||Made available in DSpace on 2021-06-08T06:53:34Z (GMT). No. of bitstreams: 1
ss00044.pdf: 5033280 bytes, checksum: eb8c889d27ff34b042ec15082fad2dd3 (MD5)
  Previous issue date: 1968",http://localhost:8080/xmlui/handle/108/98,BOMBS 120MM BRANDT MORTAR WP,,BOMBS 120MM BRANDT MORTAR WP
70,0bb96561-1328-4852-afbb-c8c7b0293aaa,ARDE SPEC 240,1978.0,"Made available in DSpace on 2016-11-24T06:07:59Z (GMT). No. of bitstreams: 1
ss00262.pdf: 674944 bytes, checksum: 9a4dc0cb33176aa7d7a6c5a57504c8a4 (MD5)
  Previous issue date: 1978||Made available in DSpace on 2021-06-08T06:50:56Z (GMT). No. of bitstreams: 1
ss00262.pdf: 674944 bytes, checksum: 9a4dc0cb33176aa7d7a6c5a57504c8a4 (MD5)
  Previous issue date: 1978",http://localhost:8080/xmlui/handle/108/362,CARTRIDGE SUBMERGED EJECTOR SIGNAL WHITE EMPTY,,CARTRIDGE SUBMERGED EJECTOR SIGNAL WHITE EMPTY
71,0cf82cca-221b-4563-aa63-1ccdc3027929,ARDE PS 2,,"Made available in DSpace on 2016-11-24T06:07:29Z (GMT). No. of bitstreams: 1
ss00361.pdf: 9089360 bytes, checksum: e5ce9f2bc3f29d8f19f896402c439490 (MD5)||Made available in DSpace on 2021-06-08T06:48:03Z (GMT). No. of bitstreams: 1
ss00361.pdf: 9089360 bytes, checksum: e5ce9f2bc3f29d8f19f896402c439490 (MD5)",http://localhost:8080/xmlui/handle/108/168,PRIMER PERCUSSION QF CARTRIDGE NO.13A EMPTY,,PRIMER PERCUSSION QF CARTRIDGE NO.13A EMPTY
72,0d0f84ee-1438-4b7e-b47a-6242d8bd3b1b,ARDE SPEC 38,1967.0,"Made available in DSpace on 2016-11-24T06:07:37Z (GMT). No. of bitstreams: 1
ss00037.pdf: 8854660 bytes, checksum: b464dd9d88f4010eec329b124be11a43 (MD5)
  Previous issue date: 1967||Made available in DSpace on 2021-06-08T06:48:56Z (GMT). No. of bitstreams: 1
ss00037.pdf: 8854660 bytes, checksum: b464dd9d88f4010eec329b124be11a43 (MD5)
  Previous issue date: 1967",http://localhost:8080/xmlui/handle/108/225,CARTRIDGE SA RIFLE GRENADE 7.62MM FOR USE WITH GRENADE RIFLE NO. 36 M W/O GAS CHECK,,CARTRIDGE SA RIFLE GRENADE 7.62MM FOR USE WITH GRENADE RIFLE NO. 36 M W/O GAS CHECK
73,0d20fdca-3a27-4018-8e3f-032bc1bc1036,ARDE SPEC 226(B),1977.0,"Made available in DSpace on 2016-11-24T06:08:07Z (GMT). No. of bitstreams: 1
ss02973.pdf: 27088594 bytes, checksum: c0aaeb5ff3d11fdf00d26db22a98b458 (MD5)
  Previous issue date: 1977||Made available in DSpace on 2021-06-08T06:48:36Z (GMT). No. of bitstreams: 1
ss02973.pdf: 27088594 bytes, checksum: c0aaeb5ff3d11fdf00d26db22a98b458 (MD5)
  Previous issue date: 1977",http://localhost:8080/xmlui/handle/108/412,FILLING AND INSPECTION OF PRIMER PERCUSSION NO.YB4 MK.2 ( IN ) QF CARTRIDGES 76.2MM HE / PRACTICE AND FLASH ( FILLED ),,FILLING AND INSPECTION OF PRIMER PERCUSSION NO.YB4 MK.2 ( IN ) QF CARTRIDGES 76.2MM HE / PRACTICE AND FLASH ( FILLED )
74,0d366b8d-9f06-4053-ae7e-f971c1cf2bda,ARDE SPEC 440,,"Made available in DSpace on 2016-11-24T06:07:20Z (GMT). No. of bitstreams: 1
ss02508.pdf: 2443390 bytes, checksum: 1521938bb7d7ce7d79b391a6b7d726fb (MD5)||Made available in DSpace on 2021-06-08T06:47:52Z (GMT). No. of bitstreams: 1
ss02508.pdf: 2443390 bytes, checksum: 1521938bb7d7ce7d79b391a6b7d726fb (MD5)",http://localhost:8080/xmlui/handle/108/114,FUZE T & P NO.213 MK.5 (M.R),,FUZE T & P NO.213 MK.5 (M.R)
75,0e838a81-8b7f-4579-b70a-f1ac1053e0f7,ARDE SPEC 325  &  326,1990.0,"Made available in DSpace on 2016-11-24T06:07:19Z (GMT). No. of bitstreams: 1
ss00098.pdf: 1972630 bytes, checksum: 6aaeaf43ac3acf5e5465c34786f7b232 (MD5)
  Previous issue date: 1990||Made available in DSpace on 2021-06-08T06:53:36Z (GMT). No. of bitstreams: 1
ss00098.pdf: 1972630 bytes, checksum: 6aaeaf43ac3acf5e5465c34786f7b232 (MD5)
  Previous issue date: 1990",http://localhost:8080/xmlui/handle/108/107,EXPLOSIVE BOLT FOR CHETAK HELICOPTER : SPEC TO GOVERN FILLING & INSP ECTION FILLED AND EMPTY ASSEMBLY,,EXPLOSIVE BOLT FOR CHETAK HELICOPTER : SPEC TO GOVERN FILLING & INSP ECTION FILLED AND EMPTY ASSEMBLY
