id,collection,dc.contributor.author[],dc.date.issued[],dc.description.abstract[en_US],dc.description[],dc.identifier.citation[],dc.identifier.citation[en_US],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[],dc.language.iso[en_US],dc.publisher[],dc.publisher[en_US],dc.subject[],dc.subject[en_US],dc.title.alternative[en_US],dc.title[],dc.title[en_US],dc.type[],dc.type[en_US]
3586,123456789/2749,"Singh, Sushant",2018-04-20,,,,,http://hdl.handle.net/108/153431,http://128.9.32.51:8080/jspui/handle/108/153431,,,,The Indian Express,,Ammunition||Ministry of Defence||Defence Budget,,,"Cash crunch, Army lists high-end ammo it won't buy",,
3582,123456789/2749,Amazon Agencies,2018-09-17,,,,,http://hdl.handle.net/108/154305,http://128.9.32.51:8080/jspui/handle/108/154305,,en_US,,The Indian Express,,Digital Assistance||News Plateform,,,Digital assistants hone skills to deliver the news,,Article
3593,123456789/2749,"Ghosh, Avantika",2018-04-11,,,,,http://hdl.handle.net/108/153366,http://128.9.32.51:8080/jspui/handle/108/153366,,,,The Indian Express,,Chemical weapon||Nerve cells||nerve gas,,,"How nerve gas and other chemical weapon kill, in Syria or elsewhere",,
3618,123456789/2749,"Gurung, Shaurya||Chaudhury, Dipanjan Roy",2017-11-27,,,,"The Economic Times, 24 nov 2017",http://hdl.handle.net/108/151699,http://128.9.32.51:8080/jspui/handle/108/151699,,,,,,Kamov Ka-226T||Military helicopters||Joint venture||Rotocraft||HAL||MOD||Sukhoi 30-MKI aircraft,,,Russia's Choppers Made in India May Be Exported,,
3601,123456789/2749,The Economist News Paper Limited,2018-01-30,,,,,http://hdl.handle.net/108/152204,http://128.9.32.51:8080/jspui/handle/108/152204,,en_US,,The Indian Express,,"Military Robotics,||Artificial Intelligents||Big-data analysis||Electronic Warfare||Cyber Attacks",,,Military Robotics War at Hyperspeed Getting to grips with military robotics,,Article
3606,123456789/2749,"Gurung, Shaurya",2017-12-07,,,,,http://hdl.handle.net/108/151802,http://128.9.32.51:8080/jspui/handle/108/151802,,,,The Economic Times,,DRDO||CHESS||LASTEC||Laser Weapon||DEWs||UAV||Technology Focus,,,India a step closer to laser weaponry,,
3590,123456789/2749,"Shukla, Ajay",2018-04-13,,,,,http://hdl.handle.net/108/153369,http://128.9.32.51:8080/jspui/handle/108/153369,,,,Bussiness Standards,,Defexpo 2018||Defence industry||Make in India||BPJ,"Modi also attended demonstraion by the seashore of army ,navy and airforce indigenous equipment",,"Modi points to green shoots,claims, ''humble begining'' in building defence industry",,
3611,123456789/2749,,2020-10-06,,,,,http://hdl.handle.net/108/173112,http://128.9.32.51:8080/jspui/handle/108/173112,,,,Task and purpose.com,,Optic Rifle||TANGO6T 1-6X24 mm,,,Soldiers are officially getting a brand new rifle optic,,
3599,123456789/2749,"Singh, Sushant",2018-01-02,,,,,http://hdl.handle.net/108/152319,http://128.9.32.51:8080/jspui/handle/108/152319,,en_US,,The Indian Express,,GDP||FY2018||Defence Budget||BE 2017-18||Finance Minister,,,Defence gets 1.58% of GDP lowest allocation since 1962,,Article
3604,123456789/2749,"Kulkarni, Sushant",2018-01-18,,,,,http://hdl.handle.net/108/152184,http://128.9.32.51:8080/jspui/handle/108/152184,,en_US,,The Hindu,,ICBM||AGNI-5||HEMRL||VRDE||DRDO,,,DRDO lab in Pune Provided Key Parts for AGNI-5,,Article
